node_element_id,name
Jurisdiction|Commonwealth,Commonwealth
Jurisdiction|New South Wales,New South Wales
Jurisdiction|Australian Capital Territory,Australian Capital Territory
Jurisdiction|Victoria,Victoria
Jurisdiction|Queensland,Queensland
Jurisdiction|Western Australia,Western Australia
Jurisdiction|South Australia,South Australia
Jurisdiction|Northern Territory,Northern Territory
Jurisdiction|Tasmania,Tasmania
Jurisdiction|Cross-jurisdictional,Cross-jurisdictional
Jurisdiction|National (Australia),National (Australia)
Jurisdiction|with operations across all states and territories,with operations across all states and territories
