node_element_id,actor,channel,id,lane,stepNumber,text,timeline
PathwayStep|step:custodian:aihw:1,researcher,AIHW website topic areas and data tables,step:custodian:aihw:1,Researcher,1,Check Publicly Available Data,ongoing
PathwayStep|step:custodian:aihw:2,researcher,AIHW 'Our data collections' section,step:custodian:aihw:2,Researcher,2,Review Our Data Collections,ongoing
PathwayStep|step:custodian:aihw:3,researcher,email experts via email address provided in data collections of interest,step:custodian:aihw:3,Researcher,3,Contact Experts,(verify with custodian)
PathwayStep|step:custodian:aihw:4,researcher,AIHW data on request form (URL to be verified),step:custodian:aihw:4,Researcher,4,Complete Data on Request Form,(verify with custodian)
PathwayStep|step:custodian:aihw:5,AIHW Ethics Committee / relevant HREC,"project proposal, ethics application (considered at quarterly meetings)",step:custodian:aihw:5,EthicsRegulatory,5,Ethical Review,(verify with custodian)
PathwayStep|step:custodian:aihw:6,"researcher, custodian",data access agreement,step:custodian:aihw:6,Researcher,6,Data Access Agreement,(verify with custodian)
PathwayStep|step:custodian:aihw:7,custodian,data provided via secure environment,step:custodian:aihw:7,Custodian,7,Data Provision,2 weeks to several months (depending on complexity)
PathwayStep|step:custodian:australian-bureau-of-statistics:1,Researcher,Review available microdata and choose between TableBuilder (for custom tables) and DataLab (for in-depth analysis),step:custodian:australian-bureau-of-statistics:1,Researcher,1,Determine Data Needs & Service,1-2 weeks
PathwayStep|step:custodian:australian-bureau-of-statistics:2,Researcher,Register for an account in the ABS Registration Centre,step:custodian:australian-bureau-of-statistics:2,Researcher,2,Register as a User,1-2 days
PathwayStep|step:custodian:australian-bureau-of-statistics:3,Researcher,"Submit a detailed project proposal via the myDATA portal, outlining the research project, data requirements, and justification",step:custodian:australian-bureau-of-statistics:3,Researcher,3,Submit Project Proposal (DataLab only),2-4 weeks
PathwayStep|step:custodian:australian-bureau-of-statistics:4,Custodian,The ABS assesses the project proposal against the Five Safes framework,step:custodian:australian-bureau-of-statistics:4,Custodian,4,Project Assessment (DataLab only),4-8 weeks (verify with custodian)
PathwayStep|step:custodian:australian-bureau-of-statistics:5,Researcher,Sign an individual undertaking to use the data responsibly,step:custodian:australian-bureau-of-statistics:5,Researcher,5,Sign Undertakings,1 week
PathwayStep|step:custodian:australian-bureau-of-statistics:6,Researcher,Access data via TableBuilder or the secure DataLab environment,step:custodian:australian-bureau-of-statistics:6,Researcher,6,Access Data,Immediate (TableBuilder) or upon project approval (DataLab)
PathwayStep|step:custodian:services-australia:1,researcher,"Email external.information.release@servicesaustralia.gov.au or post to Information Release Assurance, Data and Analytics Engagement Branch, Services Australia, PO Box 7788, Canberra BC ACT 2610, Australia",step:custodian:services-australia:1,Researcher,1,Initial Inquiry,(verify timeline)
PathwayStep|step:custodian:services-australia:2,custodian,Reference number and documents to complete,step:custodian:services-australia:2,Custodian,2,Request Registration & Assessment,(verify timeline)
PathwayStep|step:custodian:services-australia:3,researcher,Completed documents,step:custodian:services-australia:3,Researcher,3,Document Submission,(verify timeline)
PathwayStep|step:custodian:services-australia:4,custodian,(verify what is needed),step:custodian:services-australia:4,Custodian,4,Compliance Check,(verify timeline)
PathwayStep|step:custodian:services-australia:5,custodian,(verify what is needed),step:custodian:services-australia:5,Custodian,5,Decision & Data Release,(verify timeline)
PathwayStep|step:custodian:services-australia:6,custodian,Quote for customized data extraction,step:custodian:services-australia:6,Custodian,6,Data Extraction & Quote,(verify timeline)
PathwayStep|step:custodian:services-australia:7,researcher/custodian,Acceptance of quote,step:custodian:services-australia:7,Researcher,7,Quote Acceptance & Data Extraction,(verify timeline)
