node_element_id,url
"SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,","https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,"
SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request,https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request
"SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,","https://www.aihw.gov.au/about-our-data/data-governance,"
"SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,","https://www.aihw.gov.au/about-our-data/our-data-collections,"
"SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,","https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,"
"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder,","https://www.abs.gov.au/statistics/microdata-tablebuilder,"
"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,"
SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata,https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata
SourceURL|https://www.oaic.gov.au/privacy/privacy-legislation/related-legislation/medicare-and-pharmaceutical-benefits,https://www.oaic.gov.au/privacy/privacy-legislation/related-legislation/medicare-and-pharmaceutical-benefits
"SourceURL|https://www.servicesaustralia.gov.au/statistical-information-and-data?context=22,","https://www.servicesaustralia.gov.au/statistical-information-and-data?context=22,"
"SourceURL|https://hwd.health.gov.au/using-our-website/privacy.html,","https://hwd.health.gov.au/using-our-website/privacy.html,"
SourceURL|https://www.aihw.gov.au/reports-data/nhdh/access,https://www.aihw.gov.au/reports-data/nhdh/access
"SourceURL|https://www.health.gov.au/resources/publications/data-access-and-release-policy?language=en,","https://www.health.gov.au/resources/publications/data-access-and-release-policy?language=en,"
"SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/data-strategy?language=en,","https://www.health.gov.au/topics/health-data-and-medical-research/data-strategy?language=en,"
"SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/our-data-collections?language=en,","https://www.health.gov.au/topics/health-data-and-medical-research/our-data-collections?language=en,"
"SourceURL|https://www.tga.gov.au/about-us/role-tga,","https://www.tga.gov.au/about-us/role-tga,"
SourceURL|https://www.tga.gov.au/products/regulations-all-products/manufacturing/data-management-and-data-integrity-dmdi,https://www.tga.gov.au/products/regulations-all-products/manufacturing/data-management-and-data-integrity-dmdi
"SourceURL|https://www.tga.gov.au/safety/shortages-and-supply-disruptions/medicine-shortages/data-sharing-help-manage-serious-shortages-hospital-medicines/medicine-shortages-data-sharing-framework,","https://www.tga.gov.au/safety/shortages-and-supply-disruptions/medicine-shortages/data-sharing-help-manage-serious-shortages-hospital-medicines/medicine-shortages-data-sharing-framework,"
"SourceURL|https://www.tga.gov.au/search?keywords=data+access&submit=Search,","https://www.tga.gov.au/search?keywords=data+access&submit=Search,"
SourceURL|https://www.aihw.gov.au/reports/health-welfare-expenditure/health-expenditure-australia-2023-24/contents/overview-of-data-sources-and-methodology/data-processing-the-australian-government,https://www.aihw.gov.au/reports/health-welfare-expenditure/health-expenditure-australia-2023-24/contents/overview-of-data-sources-and-methodology/data-processing-the-australian-government
"SourceURL|https://www.apra.gov.au/data-and-statistics,","https://www.apra.gov.au/data-and-statistics,"
"SourceURL|https://www.apra.gov.au/national-claims-and-policies-database-statistics,","https://www.apra.gov.au/national-claims-and-policies-database-statistics,"
"SourceURL|https://www.apra.gov.au/operations-of-private-health-insurers-annual-report,","https://www.apra.gov.au/operations-of-private-health-insurers-annual-report,"
"SourceURL|https://www.apra.gov.au/quarterly-private-health-insurance-statistics,","https://www.apra.gov.au/quarterly-private-health-insurance-statistics,"
"SourceURL|https://www.apra.gov.au/statistics,","https://www.apra.gov.au/statistics,"
SourceURL|https://aci.health.nsw.gov.au/networks/trauma/data/request,https://aci.health.nsw.gov.au/networks/trauma/data/request
"SourceURL|https://aci.health.nsw.gov.au/support-for-innovation/data-requests,","https://aci.health.nsw.gov.au/support-for-innovation/data-requests,"
"SourceURL|https://atlaslongitudinaldatasets.ac.uk/datasets/apdc,","https://atlaslongitudinaldatasets.ac.uk/datasets/apdc,"
"SourceURL|https://metadata.phrn.org.au/dataset/APDC-nsw,","https://metadata.phrn.org.au/dataset/APDC-nsw,"
"SourceURL|https://pmc.ncbi.nlm.nih.gov/articles/PMC8142947/,","https://pmc.ncbi.nlm.nih.gov/articles/PMC8142947/,"
"SourceURL|https://www.health.nsw.gov.au/data/sharing/Pages/secure-access-environments.aspx,","https://www.health.nsw.gov.au/data/sharing/Pages/secure-access-environments.aspx,"
"SourceURL|https://www1.health.nsw.gov.au/pds/Pages/doc.aspx?dn=GL2019_002,","https://www1.health.nsw.gov.au/pds/Pages/doc.aspx?dn=GL2019_002,"
"SourceURL|https://www.cherel.org.au/,https://www.cherel.org.au/datasets,https://www.cherel.org.au/apply,https://www.cherel.org.au/media/54397/guide-to-applying-for-linked-data_v1_published17jan2025.pdf,https://www.saxinstitute.org.au/wp-content/uploads/CUPL-Governance-Framework.pdf,https://www.health.nsw.gov.au/lumos/Publications/data-governance-framework.pdf,https://www.phrn.org.au/data/how-to-apply/application/","https://www.cherel.org.au/,https://www.cherel.org.au/datasets,https://www.cherel.org.au/apply,https://www.cherel.org.au/media/54397/guide-to-applying-for-linked-data_v1_published17jan2025.pdf,https://www.saxinstitute.org.au/wp-content/uploads/CUPL-Governance-Framework.pdf,https://www.health.nsw.gov.au/lumos/Publications/data-governance-framework.pdf,https://www.phrn.org.au/data/how-to-apply/application/"
"SourceURL|https://www.cancer.nsw.gov.au/about-cancer/document-library/data-access-policy,","https://www.cancer.nsw.gov.au/about-cancer/document-library/data-access-policy,"
"SourceURL|https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request,","https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request,"
SourceURL|https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research/breastscreen-nsw,https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research/breastscreen-nsw
"SourceURL|https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research/nsw-cancer-registry,","https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research/nsw-cancer-registry,"
"SourceURL|https://vahi.freshdesk.com/support/home,","https://vahi.freshdesk.com/support/home,"
SourceURL|https://vahi.vic.gov.au/,https://vahi.vic.gov.au/
"SourceURL|https://vahi.vic.gov.au/ourwork/data-acquisition-and-management,","https://vahi.vic.gov.au/ourwork/data-acquisition-and-management,"
"SourceURL|https://vahi.vic.gov.au/ourwork/data-linkage,","https://vahi.vic.gov.au/ourwork/data-linkage,"
SourceURL|https://pmc.ncbi.nlm.nih.gov/articles/PMC10749758/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10749758/
"SourceURL|https://vcccalliance.org.au/research/data-connect,","https://vcccalliance.org.au/research/data-connect,"
"SourceURL|https://www.cancervic.org.au/research/our-research/victoria-cancer-registry,","https://www.cancervic.org.au/research/our-research/victoria-cancer-registry,"
"SourceURL|https://www.cancervic.org.au/research/our-research/victoria-cancer-registry/data-requests,","https://www.cancervic.org.au/research/our-research/victoria-cancer-registry/data-requests,"
"SourceURL|https://www.cancervic.org.au/research/our-research/victoria-cancer-registry/legal-and-governance,","https://www.cancervic.org.au/research/our-research/victoria-cancer-registry/legal-and-governance,"
"SourceURL|https://www.health.vic.gov.au/cancer-care/improving-cancer-outcomes-regulations-2025,","https://www.health.vic.gov.au/cancer-care/improving-cancer-outcomes-regulations-2025,"
"SourceURL|http://www.med.monash.edu.au/assets/docs/creps/2016/2016datalinkageaug-yingchen.pdf,","http://www.med.monash.edu.au/assets/docs/creps/2016/2016datalinkageaug-yingchen.pdf,"
"SourceURL|https://iht.deakin.edu.au/wp-content/uploads/sites/153/2022/01/cvdl-virtual-machine-access-model.pdf,","https://iht.deakin.edu.au/wp-content/uploads/sites/153/2022/01/cvdl-virtual-machine-access-model.pdf,"
"SourceURL|https://vahi.vic.gov.au/ourwork/data-linkage/about,","https://vahi.vic.gov.au/ourwork/data-linkage/about,"
"SourceURL|https://vahi.vic.gov.au/ourwork/data-linkage/data-custodians,","https://vahi.vic.gov.au/ourwork/data-linkage/data-custodians,"
SourceURL|https://www.clinicaltrialsandresearch.vic.gov.au/__data/assets/pdf_file/0013/171130/Jurisdictional-Legislative-Requirements-December-2023.pdf,https://www.clinicaltrialsandresearch.vic.gov.au/__data/assets/pdf_file/0013/171130/Jurisdictional-Legislative-Requirements-December-2023.pdf
"SourceURL|https://www.monash.edu/__data/assets/pdf_file/0018/2033190/centre-for-victorian-data-linkage-may-2019.pdf,","https://www.monash.edu/__data/assets/pdf_file/0018/2033190/centre-for-victorian-data-linkage-may-2019.pdf,"
"SourceURL|https://www.phrn.org.au/resources/data-linkage-units/,","https://www.phrn.org.au/resources/data-linkage-units/,"
"SourceURL|https://www.sciencedirect.com/science/article/pii/S1326020024000645,","https://www.sciencedirect.com/science/article/pii/S1326020024000645,"
"SourceURL|https://cancerallianceqld.health.qld.gov.au/queensland-cancer-register-qcr/,","https://cancerallianceqld.health.qld.gov.au/queensland-cancer-register-qcr/,"
"SourceURL|https://www.health.qld.gov.au/hsu/collections/pdc,","https://www.health.qld.gov.au/hsu/collections/pdc,"
"SourceURL|https://www.health.qld.gov.au/hsu/collections/qhapdc,","https://www.health.qld.gov.au/hsu/collections/qhapdc,"
SourceURL|https://www.health.qld.gov.au/hsu/link/datalink,https://www.health.qld.gov.au/hsu/link/datalink
"SourceURL|https://www.health.qld.gov.au/research-reports/research/data-requests,","https://www.health.qld.gov.au/research-reports/research/data-requests,"
"SourceURL|https://www.health.qld.gov.au/research-reports/research/researchers/how-to/confidential-information/apply-for-information,","https://www.health.qld.gov.au/research-reports/research/researchers/how-to/confidential-information/apply-for-information,"
SourceURL|https://keypoint.edu.au/,https://keypoint.edu.au/
"SourceURL|https://www.qcif.edu.au/news/secure-sensitive-data-platform-now-live,","https://www.qcif.edu.au/news/secure-sensitive-data-platform-now-live,"
"SourceURL|https://www.qcif.edu.au/products/keypoint,","https://www.qcif.edu.au/products/keypoint,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-collections,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-collections,"
"SourceURL|https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-forms,","https://www.health.wa.gov.au/Articles/A_E/data-linkage/How-to-apply-for-data/data-forms,"
"SourceURL|https://www.health.wa.gov.au/articles/a_e/data-linkage,","https://www.health.wa.gov.au/articles/a_e/data-linkage,"
SourceURL|https://www.wa.gov.au/organisation/department-of-the-premier-and-cabinet/office-of-digital-government/peoplewa,https://www.wa.gov.au/organisation/department-of-the-premier-and-cabinet/office-of-digital-government/peoplewa
