node_element_id,labels,primary_label,business_id,name,properties_json
Custodian|custodian:aihw,Custodian,Custodian,custodian:aihw,AIHW,"{""contactAndApplicationPortal"": ""Primary contact: info@aihw.gov.au, Application portal URL: (verify with custodian for general data requests); Dataplace (for DATA Scheme requests), Key documents / forms: \""Accessing data\"" corporate brochure (PDF, 925kB) (URL to be verified), Data on request form (URL to be verified)"", ""ethicsAndGovernanceRequirements"": ""Which HREC or ethics body must approve: AIHW Ethics Committee (at scheduled quarterly meetings) or other relevant HREC. All data linking requests must be approved by the AIHW Ethics Committee. Relevant legislation: Australian Institute of Health and Welfare Act 1987 (AIHW Act), Privacy Act 1988 (Cwlth). Data governance framework applied: Five Safes Framework, AIHW Data Governance Framework 2022, National Statement on Ethical Conduct in Human research, Australian Code for the Responsible Conduct of Research. Any special requirements: Strong emphasis on privacy and confidentiality, especially for sensitive data like Indigenous health data. Some requests may be subject to a Five Safes assessment. Fees may apply for ethics applications."", ""fullPathwayCardMarkdown"": ""## Pathway Card: Australian Institute of Health and Welfare (AIHW)\n\n**Custodian Type:** Commonwealth\n\n**Jurisdiction:** Commonwealth\n\n**Primary Role:** The Australian Institute of Health and Welfare (AIHW) is the Commonwealth data custodian for national health and welfare statistics, including data on cancer, mortality, hospitals, aged care, disability, and Indigenous health. It securely and ethically manages Australia's health and welfare data holdings to provide statistical information for policymakers, service providers, and researchers to improve health and welfare outcomes for Australians.\n\n**Key Data Holdings:**\nA table with columns: Dataset Name | Description | Identifiable? | Linkable?\n| Dataset Name | Description | Identifiable? | Linkable? |\n|---|---|---|---|\n| National Health and Welfare Data Collections | Over 150 datasets covering diverse fields like health, welfare, aged care, disability, and Indigenous health. | (verify with custodian) | (verify with custodian) |\n| Australian Cancer Database | National data on cancer incidence and mortality. | (verify with custodian) | (verify with custodian) |\n| National Death Index | National data on causes of death. | (verify with custodian) | (verify with custodian) |\n| National Hospitals Data Collection | Data on hospitalisations and procedures. | (verify with custodian) | (verify with custodian) |\n| National Aged Care Data Clearinghouse | Data related to aged care services. | (verify with custodian) | (verify with custodian) |\n| Specialist Homelessness Services Collection | Data on homelessness services. | (verify with custodian) | (verify with custodian) |\n| National Key Performance Indicators for First Nations-specific primary health care | Data on health outcomes for First Nations people. | (verify with custodian) | (verify with custodian) |\n\n**Data Access Pathway — Step by Step:**\n1. Check Publicly Available Data — researcher — AIHW website topic areas and data tables — ongoing\n2. Review Our Data Collections — researcher — AIHW 'Our data collections' section — ongoing\n3. Contact Experts — researcher — email experts via email address provided in data collections of interest — (verify with custodian)\n4. Complete Data on Request Form — researcher — AIHW data on request form (URL to be verified) — (verify with custodian)\n5. Ethical Review — AIHW Ethics Committee / relevant HREC — project proposal, ethics application (considered at quarterly meetings) — (verify with custodian)\n6. Data Access Agreement — researcher, custodian — data access agreement — (verify with custodian)\n7. Data Provision — custodian — data provided via secure environment — 2 weeks to several months (depending on complexity)\n\n**Ethics and Governance Requirements:**\n- Which HREC or ethics body must approve: AIHW Ethics Committee (at scheduled quarterly meetings) or other relevant HREC. All data linking requests must be approved by the AIHW Ethics Committee.\n- Relevant legislation: Australian Institute of Health and Welfare Act 1987 (AIHW Act), Privacy Act 1988 (Cwlth).\n- Data governance framework applied: Five Safes Framework, AIHW Data Governance Framework 2022, National Statement on Ethical Conduct in Human research, Australian Code for the Responsible Conduct of Research.\n- Any special requirements: Strong emphasis on privacy and confidentiality, especially for sensitive data like Indigenous health data. Some requests may be subject to a Five Safes assessment. Fees may apply for ethics applications.\n\n**Trusted Research Environment (TRE) / Secure Access:**\n- Is a TRE required or available?: Yes, a secure environment is used for data provision.\n- Which TRE platform: AIHW Secure Environment (platform name to be verified). For DATA Scheme requests, Dataplace is used.\n- Remote access or on-site only?: (verify with custodian)\n\n**Contact and Application Portal:**\n- Primary contact: info@aihw.gov.au\n- Application portal URL: (verify with custodian for general data requests); Dataplace (for DATA Scheme requests).\n- Key documents / forms: \""Accessing data\"" corporate brochure (PDF, 925kB) (URL to be verified), Data on request form (URL to be verified).\n\n**Indicative Timeline:**\n| Stage | Typical Duration |\n|---|---|\n| Initial Inquiry & Expert Consultation | (verify with custodian) |\n| Data Request Submission & Assessment | (verify with custodian) |\n| Ethical Review | Aligned with quarterly AIHW Ethics Committee meetings (verify specific dates) |\n| Data Access Agreement | (verify with custodian) |\n| Data Provision | 2 weeks to several months (depending on complexity) |\n\n**Known Gaps / Verify with Custodian:**\n*   Specific URL for the general \""data on request form\"".\n*   Specific URL for the \""Accessing data\"" corporate brochure.\n*   Detailed indicative timelines for each stage of data access.\n*   Whether datasets are identifiable or linkable.\n*   Specific TRE platform name for AIHW Secure Environment and access type (remote/on-site).\n*   Specific dates for quarterly AIHW Ethics Committee meetings.\n\n**Connections to Other Custodians / Pathways:**\nDepartment of Social Services (DSS) (makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW).\n\n**Source URLs:**\nhttps://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw\nhttps://www.aihw.gov.au/about-our-data/our-data-collections\nhttps://www.aihw.gov.au/about-our-data/data-governance\nhttps://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx\nhttps://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request"", ""gapsVerifyWithCustodian"": ""* Specific URL for the general \""data on request form\"".\n* Specific URL for the \""Accessing data\"" corporate brochure.\n* Detailed indicative timelines for each stage of data access.\n* Whether datasets are identifiable or linkable.\n* Specific TRE platform name for AIHW Secure Environment and access type (remote/on-site).\n* Specific dates for quarterly AIHW Ethics Committee meetings."", ""id"": ""custodian:aihw"", ""indicativeTimeline"": ""Initial Inquiry & Expert Consultation: (verify with custodian); Data Request Submission & Assessment: (verify with custodian); Ethical Review: Aligned with quarterly AIHW Ethics Committee meetings (verify specific dates); Data Access Agreement: (verify with custodian); Data Provision: 2 weeks to several months (depending on complexity)"", ""mdPathwayCardMarkdown"": ""**Custodian Type:** Commonwealth\n\n**Jurisdiction:** Commonwealth\n\n**Primary Role:** The Australian Digital Health Agency (ADHA) is the System Operator for My Health Record. It is responsible for enabling a connected healthcare system and managing the My Health Record system, which facilitates the secure sharing of health information to improve health outcomes for Australians.\n\n**Key Data Holdings:**\nDataset Name | Description | Identifiable? | Linkable?\n---|---|---|---\nMy Health Record Data | Comprehensive digital health records of Australians | Yes (with consent) / No (de-identified) | Yes (with consent) / No (de-identified)\n\n**Data Access Pathway — Step by Step:**\n1. Initial Inquiry — researcher — (verify with custodian) — (verify with custodian)\n2. Application Submission — researcher — (verify with custodian for forms/portal) — (verify with custodian)\n3. Data Governance Board Review — My Health Record Data Governance Board (still to be established) — Application meeting privacy, assurance, and risk mitigation requirements — (verify with custodian)\n4. Ethics Approval — ethics committee — (strict ethics approvals for identified data) — (verify with custodian)\n5. Data Provision — Australian Institute of Health and Welfare (AIHW) — De-identified or identified data (with consent) — (release only after necessary infrastructure is in place, verify timeline)\n\n**Ethics and Governance Requirements:**\nApplications for identified data will be subject to strict ethics approvals. The My Health Record Data Governance Board (still to be established) will review applications. Relevant legislation includes the My Health Records Act 2012. A framework to guide the use of My Health Record system data for research or public health purposes is applied. Special requirements include: no use for commercial and non-health related purposes, no access for insurance agencies, data cannot be used to assess eligibility for benefits, high standards for privacy protection, and data released for research or public health purposes must not be sold.\n\n**Trusted Research Environment (TRE) / Secure Access:**\n(verify with custodian) — (verify with custodian) — (verify with custodian)\n\n**Contact and Application Portal:**\nMy Health Record help line, 1800 723 471, (Application portal URL: verify with custodian)\n\n**Indicative Timeline:**\nStage: (verify with custodian); Stage: (verify with custodian); Stage: (verify with custodian)\n\n**Known Gaps / Verify with Custodian:**\n*   Specific application forms and portal for data access.\n*   Detailed step-by-step data access pathway.\n*   Indicative timelines for data access.\n*   Specific TRE platform used for data access.\n*   Exact composition and establishment date of the My Health Record Data Governance Board.\n\n**Connections to Other Custodians / Pathways:**\nAustralian Institute of Health and Welfare (AIHW) — appointed as Data Custodian for My Health Record system data for research or public health purposes; My Health Record Data Governance Board — includes representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, and independent experts.\n\n**Source URLs:**\nhttps://www.digitalhealth.gov.au/initiatives-and-programs/my-health-record/manage-your-record/privacy-and-access/secondary-use-of-data\n\n---"", ""name"": ""AIHW"", ""primaryRole"": ""The Australian Institute of Health and Welfare (AIHW) is the Commonwealth data custodian for national health and welfare statistics, including data on cancer, mortality, hospitals, aged care, disability, and Indigenous health. It securely and ethically manages Australia's health and welfare data holdings to provide statistical information for policymakers, service providers, and researchers to improve health and welfare outcomes for Australians."", ""subject"": ""AIHW — Australian Institute of Health and Welfare (Commonwealth data custodian for national health and welfare statistics, cancer, mortality, hospital, aged care, disability, and Indigenous health data)"", ""treSecureAccessPlatform"": ""Yes, a secure environment is used for data provision. AIHW Secure Environment (platform name to be verified). For DATA Scheme requests, Dataplace is used. Remote access or on-site only?: (verify with custodian)""}"
CustodianType|Commonwealth,CustodianType,CustodianType,,Commonwealth,"{""name"": ""Commonwealth""}"
Jurisdiction|Commonwealth,Jurisdiction,Jurisdiction,,Commonwealth,"{""name"": ""Commonwealth""}"
ProcessLine|line:custodian:aihw,ProcessLine,ProcessLine,line:custodian:aihw,AIHW,"{""id"": ""line:custodian:aihw"", ""name"": ""AIHW""}"
PathwayStep|step:custodian:aihw:1,PathwayStep,PathwayStep,step:custodian:aihw:1,,"{""actor"": ""researcher"", ""channel"": ""AIHW website topic areas and data tables"", ""id"": ""step:custodian:aihw:1"", ""lane"": ""Researcher"", ""stepNumber"": 1, ""text"": ""Check Publicly Available Data"", ""timeline"": ""ongoing""}"
PathwayStep|step:custodian:aihw:2,PathwayStep,PathwayStep,step:custodian:aihw:2,,"{""actor"": ""researcher"", ""channel"": ""AIHW 'Our data collections' section"", ""id"": ""step:custodian:aihw:2"", ""lane"": ""Researcher"", ""stepNumber"": 2, ""text"": ""Review Our Data Collections"", ""timeline"": ""ongoing""}"
PathwayStep|step:custodian:aihw:3,PathwayStep,PathwayStep,step:custodian:aihw:3,,"{""actor"": ""researcher"", ""channel"": ""email experts via email address provided in data collections of interest"", ""id"": ""step:custodian:aihw:3"", ""lane"": ""Researcher"", ""stepNumber"": 3, ""text"": ""Contact Experts"", ""timeline"": ""(verify with custodian)""}"
PathwayStep|step:custodian:aihw:4,PathwayStep,PathwayStep,step:custodian:aihw:4,,"{""actor"": ""researcher"", ""channel"": ""AIHW data on request form (URL to be verified)"", ""id"": ""step:custodian:aihw:4"", ""lane"": ""Researcher"", ""stepNumber"": 4, ""text"": ""Complete Data on Request Form"", ""timeline"": ""(verify with custodian)""}"
PathwayStep|step:custodian:aihw:5,PathwayStep,PathwayStep,step:custodian:aihw:5,,"{""actor"": ""AIHW Ethics Committee / relevant HREC"", ""channel"": ""project proposal, ethics application (considered at quarterly meetings)"", ""id"": ""step:custodian:aihw:5"", ""lane"": ""EthicsRegulatory"", ""stepNumber"": 5, ""text"": ""Ethical Review"", ""timeline"": ""(verify with custodian)""}"
PathwayStep|step:custodian:aihw:6,PathwayStep,PathwayStep,step:custodian:aihw:6,,"{""actor"": ""researcher, custodian"", ""channel"": ""data access agreement"", ""id"": ""step:custodian:aihw:6"", ""lane"": ""Researcher"", ""stepNumber"": 6, ""text"": ""Data Access Agreement"", ""timeline"": ""(verify with custodian)""}"
