relationship_element_id,start_node_element_id,end_node_element_id,matchScore,matchType,rawText,segment
CONNECTED_TO|Custodian|custodian:australian-bureau-of-statistics|Custodian|custodian:aihw,Custodian|custodian:australian-bureau-of-statistics,Custodian|custodian:aihw,1.0,override_force_accept,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.","The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects"
CONNECTED_TO|Custodian|custodian:australian-bureau-of-statistics|Custodian|custodian:services-australia,Custodian|custodian:australian-bureau-of-statistics,Custodian|custodian:services-australia,1.0,override_force_accept,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.","The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects"
CONNECTED_TO|Custodian|custodian:services-australia|Custodian|custodian:aihw,Custodian|custodian:services-australia,Custodian|custodian:aihw,1.0,name_exact,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting
CONNECTED_TO|Custodian|custodian:services-australia|Custodian|custodian:department-of-health-and-aged-care,Custodian|custodian:services-australia,Custodian|custodian:department-of-health-and-aged-care,1.0,name_exact,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,Department of Health and Aged Care — policy department involved in data release decisions
CONNECTED_TO|Custodian|custodian:department-of-health-and-aged-care|Custodian|custodian:aihw,Custodian|custodian:department-of-health-and-aged-care,Custodian|custodian:aihw,1.0,override_force_accept,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)","Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)"
CONNECTED_TO|Custodian|custodian:department-of-health-and-aged-care|Custodian|custodian:services-australia,Custodian|custodian:department-of-health-and-aged-care,Custodian|custodian:services-australia,1.0,override_force_accept,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)","Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)"
CONNECTED_TO|Custodian|custodian:apra|Custodian|custodian:aihw,Custodian|custodian:apra,Custodian|custodian:aihw,1.0,name_exact,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting.,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting
CONNECTED_TO|Custodian|custodian:nsw-health-ministry-of-health-nsw|Custodian|custodian:cherel,Custodian|custodian:nsw-health-ministry-of-health-nsw,Custodian|custodian:cherel,1.0,name_exact,"Centre for Health Record Linkage (CHeReL) for data linkage projects within NSW, NSW Aboriginal Health and Medical Research Council (AH&MRC) Ethics Committee for Indigenous data requests","Centre for Health Record Linkage (CHeReL) for data linkage projects within NSW, NSW Aboriginal Health and Medical Research Council (AH&MRC) Ethics Committee for Indigenous data requests"
CONNECTED_TO|Custodian|custodian:cherel|Custodian|custodian:australian-bureau-of-statistics,Custodian|custodian:cherel,Custodian|custodian:australian-bureau-of-statistics,1.0,name_exact,"Australian Bureau of Statistics (ABS) for cross-jurisdictional projects, Australian Early Development Census (AEDC) data custodians for linked AEDC data","Australian Bureau of Statistics (ABS) for cross-jurisdictional projects, Australian Early Development Census (AEDC) data custodians for linked AEDC data"
CONNECTED_TO|Custodian|custodian:vahi|Custodian|custodian:centre-for-victorian-data-linkage-cvdl,Custodian|custodian:vahi,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,1.0,name_exact,Centre for Victorian Data Linkage (CVDL) for data linkage requests; Australian Institute of Health and Welfare (AIHW) and Independent Hospital and Aged Care Pricing Authority (IHACPA) for alternative data sources.,Centre for Victorian Data Linkage (CVDL) for data linkage requests
