relationship_element_id,start_node_element_id,end_node_element_id,source
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-health-and-welfare-data-collections|csv,Custodian|custodian:aihw,Dataset|dataset:national-health-and-welfare-data-collections,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:australian-cancer-database|csv,Custodian|custodian:aihw,Dataset|dataset:australian-cancer-database,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-death-index|csv,Custodian|custodian:aihw,Dataset|dataset:national-death-index,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-hospitals-data-collection|csv,Custodian|custodian:aihw,Dataset|dataset:national-hospitals-data-collection,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-aged-care-data-clearinghouse|csv,Custodian|custodian:aihw,Dataset|dataset:national-aged-care-data-clearinghouse,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:specialist-homelessness-services-collection|csv,Custodian|custodian:aihw,Dataset|dataset:specialist-homelessness-services-collection,csv
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care|csv,Custodian|custodian:aihw,Dataset|dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care,csv
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:census|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:census,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:health|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:health,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:education|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:education,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:labour-force|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:labour-force,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:aboriginal-and-torres-strait-islander-peoples|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:aboriginal-and-torres-strait-islander-peoples,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:migrants|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:migrants,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:crime|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:crime,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:business|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:business,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:disabilities-ageing-and-carers|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:disabilities-ageing-and-carers,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:abs-survey-results|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:abs-survey-results,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:administrative-data|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:administrative-data,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:integrated-datasets|md,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:integrated-datasets,md
HAS_DATASET|Custodian|custodian:australian-bureau-of-statistics|Dataset|dataset:national-health-survey|csv,Custodian|custodian:australian-bureau-of-statistics,Dataset|dataset:national-health-survey,csv
