relationship_element_id,start_node_element_id,end_node_element_id
HAS_TYPE|Custodian|custodian:aihw|CustodianType|Commonwealth,Custodian|custodian:aihw,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:australian-bureau-of-statistics|CustodianType|Commonwealth,Custodian|custodian:australian-bureau-of-statistics,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:services-australia|CustodianType|Commonwealth,Custodian|custodian:services-australia,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:department-of-health-and-aged-care|CustodianType|Commonwealth,Custodian|custodian:department-of-health-and-aged-care,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:tga|CustodianType|Commonwealth,Custodian|custodian:tga,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:apra|CustodianType|Commonwealth,Custodian|custodian:apra,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:nsw-health-ministry-of-health-nsw|CustodianType|State — NSW,Custodian|custodian:nsw-health-ministry-of-health-nsw,CustodianType|State — NSW
HAS_TYPE|Custodian|custodian:cherel|CustodianType|State — NSW,Custodian|custodian:cherel,CustodianType|State — NSW
HAS_TYPE|Custodian|custodian:cherel|CustodianType|State — ACT,Custodian|custodian:cherel,CustodianType|State — ACT
HAS_TYPE|Custodian|custodian:cherel|CustodianType|Cross-jurisdictional,Custodian|custodian:cherel,CustodianType|Cross-jurisdictional
HAS_TYPE|Custodian|custodian:cancer-institute-nsw|CustodianType|State - NSW,Custodian|custodian:cancer-institute-nsw,CustodianType|State - NSW
HAS_TYPE|Custodian|custodian:vahi|CustodianType|State - VIC,Custodian|custodian:vahi,CustodianType|State - VIC
HAS_TYPE|Custodian|custodian:victorian-cancer-registry|CustodianType|State - VIC,Custodian|custodian:victorian-cancer-registry,CustodianType|State - VIC
HAS_TYPE|Custodian|custodian:victorian-cancer-registry|CustodianType|Private,Custodian|custodian:victorian-cancer-registry,CustodianType|Private
HAS_TYPE|Custodian|custodian:victorian-cancer-registry|CustodianType|NGO,Custodian|custodian:victorian-cancer-registry,CustodianType|NGO
HAS_TYPE|Custodian|custodian:centre-for-victorian-data-linkage-cvdl|CustodianType|State - VIC,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,CustodianType|State - VIC
HAS_TYPE|Custodian|custodian:queensland-health|CustodianType|State - QLD,Custodian|custodian:queensland-health,CustodianType|State - QLD
HAS_TYPE|Custodian|custodian:qcif|CustodianType|TRE,Custodian|custodian:qcif,CustodianType|TRE
HAS_TYPE|Custodian|custodian:qcif|CustodianType|SDE,Custodian|custodian:qcif,CustodianType|SDE
HAS_TYPE|Custodian|custodian:wa-health-data-linkage-services-wa|CustodianType|State — WA,Custodian|custodian:wa-health-data-linkage-services-wa,CustodianType|State — WA
HAS_TYPE|Custodian|custodian:sa-health-sa-nt-datalink|CustodianType|Cross-jurisdictional,Custodian|custodian:sa-health-sa-nt-datalink,CustodianType|Cross-jurisdictional
HAS_TYPE|Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu|CustodianType|State — TAS,Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,CustodianType|State — TAS
HAS_TYPE|Custodian|custodian:act-health|CustodianType|State — ACT,Custodian|custodian:act-health,CustodianType|State — ACT
HAS_TYPE|Custodian|custodian:nt-health-nt-health-research-governance-office|CustodianType|State — NT,Custodian|custodian:nt-health-nt-health-research-governance-office,CustodianType|State — NT
HAS_TYPE|Custodian|custodian:phrn|CustodianType|Cross-jurisdictional,Custodian|custodian:phrn,CustodianType|Cross-jurisdictional
HAS_TYPE|Custodian|custodian:sure-secure-unified-research-environment|CustodianType|TRE,Custodian|custodian:sure-secure-unified-research-environment,CustodianType|TRE
HAS_TYPE|Custodian|custodian:sure-secure-unified-research-environment|CustodianType|SDE,Custodian|custodian:sure-secure-unified-research-environment,CustodianType|SDE
HAS_TYPE|Custodian|custodian:abs-datalab|CustodianType|TRE,Custodian|custodian:abs-datalab,CustodianType|TRE
HAS_TYPE|Custodian|custodian:abs-datalab|CustodianType|SDE,Custodian|custodian:abs-datalab,CustodianType|SDE
HAS_TYPE|Custodian|custodian:abs-datalab|CustodianType|Commonwealth,Custodian|custodian:abs-datalab,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:aihw-data-integration-services|CustodianType|Commonwealth,Custodian|custodian:aihw-data-integration-services,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:aihw-data-integration-services|CustodianType|TRE,Custodian|custodian:aihw-data-integration-services,CustodianType|TRE
HAS_TYPE|Custodian|custodian:aihw-data-integration-services|CustodianType|SDE,Custodian|custodian:aihw-data-integration-services,CustodianType|SDE
HAS_TYPE|Custodian|custodian:adha|CustodianType|Commonwealth,Custodian|custodian:adha,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:phn-cooperative-primary-health-insights|CustodianType|Private,Custodian|custodian:phn-cooperative-primary-health-insights,CustodianType|Private
HAS_TYPE|Custodian|custodian:phn-cooperative-primary-health-insights|CustodianType|NGO,Custodian|custodian:phn-cooperative-primary-health-insights,CustodianType|NGO
HAS_TYPE|Custodian|custodian:medicineinsight-nps-medicinewise|CustodianType|Commonwealth,Custodian|custodian:medicineinsight-nps-medicinewise,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:nhmrc-hrecs|CustodianType|Ethics Body,Custodian|custodian:nhmrc-hrecs,CustodianType|Ethics Body
HAS_TYPE|Custodian|custodian:aiatsis|CustodianType|Commonwealth,Custodian|custodian:aiatsis,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|CustodianType|Private,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,CustodianType|Private
HAS_TYPE|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|CustodianType|NGO,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,CustodianType|NGO
HAS_TYPE|Custodian|custodian:acsqhc|CustodianType|Commonwealth,Custodian|custodian:acsqhc,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:ardc|CustodianType|Commonwealth,Custodian|custodian:ardc,CustodianType|Commonwealth
HAS_TYPE|Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health|CustodianType|Commonwealth,Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,CustodianType|Commonwealth
