relationship_element_id,start_node_element_id,end_node_element_id
OFFERS_LINE|Custodian|custodian:aihw|ProcessLine|line:custodian:aihw,Custodian|custodian:aihw,ProcessLine|line:custodian:aihw
OFFERS_LINE|Custodian|custodian:australian-bureau-of-statistics|ProcessLine|line:custodian:australian-bureau-of-statistics,Custodian|custodian:australian-bureau-of-statistics,ProcessLine|line:custodian:australian-bureau-of-statistics
OFFERS_LINE|Custodian|custodian:services-australia|ProcessLine|line:custodian:services-australia,Custodian|custodian:services-australia,ProcessLine|line:custodian:services-australia
OFFERS_LINE|Custodian|custodian:department-of-health-and-aged-care|ProcessLine|line:custodian:department-of-health-and-aged-care,Custodian|custodian:department-of-health-and-aged-care,ProcessLine|line:custodian:department-of-health-and-aged-care
OFFERS_LINE|Custodian|custodian:tga|ProcessLine|line:custodian:tga,Custodian|custodian:tga,ProcessLine|line:custodian:tga
OFFERS_LINE|Custodian|custodian:apra|ProcessLine|line:custodian:apra,Custodian|custodian:apra,ProcessLine|line:custodian:apra
OFFERS_LINE|Custodian|custodian:nsw-health-ministry-of-health-nsw|ProcessLine|line:custodian:nsw-health-ministry-of-health-nsw,Custodian|custodian:nsw-health-ministry-of-health-nsw,ProcessLine|line:custodian:nsw-health-ministry-of-health-nsw
OFFERS_LINE|Custodian|custodian:cherel|ProcessLine|line:custodian:cherel,Custodian|custodian:cherel,ProcessLine|line:custodian:cherel
OFFERS_LINE|Custodian|custodian:cancer-institute-nsw|ProcessLine|line:custodian:cancer-institute-nsw,Custodian|custodian:cancer-institute-nsw,ProcessLine|line:custodian:cancer-institute-nsw
OFFERS_LINE|Custodian|custodian:vahi|ProcessLine|line:custodian:vahi,Custodian|custodian:vahi,ProcessLine|line:custodian:vahi
OFFERS_LINE|Custodian|custodian:victorian-cancer-registry|ProcessLine|line:custodian:victorian-cancer-registry,Custodian|custodian:victorian-cancer-registry,ProcessLine|line:custodian:victorian-cancer-registry
OFFERS_LINE|Custodian|custodian:centre-for-victorian-data-linkage-cvdl|ProcessLine|line:custodian:centre-for-victorian-data-linkage-cvdl,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,ProcessLine|line:custodian:centre-for-victorian-data-linkage-cvdl
OFFERS_LINE|Custodian|custodian:queensland-health|ProcessLine|line:custodian:queensland-health,Custodian|custodian:queensland-health,ProcessLine|line:custodian:queensland-health
OFFERS_LINE|Custodian|custodian:qcif|ProcessLine|line:custodian:qcif,Custodian|custodian:qcif,ProcessLine|line:custodian:qcif
OFFERS_LINE|Custodian|custodian:wa-health-data-linkage-services-wa|ProcessLine|line:custodian:wa-health-data-linkage-services-wa,Custodian|custodian:wa-health-data-linkage-services-wa,ProcessLine|line:custodian:wa-health-data-linkage-services-wa
OFFERS_LINE|Custodian|custodian:sa-health-sa-nt-datalink|ProcessLine|line:custodian:sa-health-sa-nt-datalink,Custodian|custodian:sa-health-sa-nt-datalink,ProcessLine|line:custodian:sa-health-sa-nt-datalink
OFFERS_LINE|Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu|ProcessLine|line:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,ProcessLine|line:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu
OFFERS_LINE|Custodian|custodian:act-health|ProcessLine|line:custodian:act-health,Custodian|custodian:act-health,ProcessLine|line:custodian:act-health
OFFERS_LINE|Custodian|custodian:nt-health-nt-health-research-governance-office|ProcessLine|line:custodian:nt-health-nt-health-research-governance-office,Custodian|custodian:nt-health-nt-health-research-governance-office,ProcessLine|line:custodian:nt-health-nt-health-research-governance-office
OFFERS_LINE|Custodian|custodian:phrn|ProcessLine|line:custodian:phrn,Custodian|custodian:phrn,ProcessLine|line:custodian:phrn
OFFERS_LINE|Custodian|custodian:sure-secure-unified-research-environment|ProcessLine|line:custodian:sure-secure-unified-research-environment,Custodian|custodian:sure-secure-unified-research-environment,ProcessLine|line:custodian:sure-secure-unified-research-environment
OFFERS_LINE|Custodian|custodian:abs-datalab|ProcessLine|line:custodian:abs-datalab,Custodian|custodian:abs-datalab,ProcessLine|line:custodian:abs-datalab
OFFERS_LINE|Custodian|custodian:aihw-data-integration-services|ProcessLine|line:custodian:aihw-data-integration-services,Custodian|custodian:aihw-data-integration-services,ProcessLine|line:custodian:aihw-data-integration-services
OFFERS_LINE|Custodian|custodian:adha|ProcessLine|line:custodian:adha,Custodian|custodian:adha,ProcessLine|line:custodian:adha
OFFERS_LINE|Custodian|custodian:phn-cooperative-primary-health-insights|ProcessLine|line:custodian:phn-cooperative-primary-health-insights,Custodian|custodian:phn-cooperative-primary-health-insights,ProcessLine|line:custodian:phn-cooperative-primary-health-insights
OFFERS_LINE|Custodian|custodian:medicineinsight-nps-medicinewise|ProcessLine|line:custodian:medicineinsight-nps-medicinewise,Custodian|custodian:medicineinsight-nps-medicinewise,ProcessLine|line:custodian:medicineinsight-nps-medicinewise
OFFERS_LINE|Custodian|custodian:nhmrc-hrecs|ProcessLine|line:custodian:nhmrc-hrecs,Custodian|custodian:nhmrc-hrecs,ProcessLine|line:custodian:nhmrc-hrecs
OFFERS_LINE|Custodian|custodian:aiatsis|ProcessLine|line:custodian:aiatsis,Custodian|custodian:aiatsis,ProcessLine|line:custodian:aiatsis
OFFERS_LINE|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos|ProcessLine|line:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ProcessLine|line:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos
OFFERS_LINE|Custodian|custodian:acsqhc|ProcessLine|line:custodian:acsqhc,Custodian|custodian:acsqhc,ProcessLine|line:custodian:acsqhc
OFFERS_LINE|Custodian|custodian:ardc|ProcessLine|line:custodian:ardc,Custodian|custodian:ardc,ProcessLine|line:custodian:ardc
OFFERS_LINE|Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health|ProcessLine|line:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,Custodian|custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,ProcessLine|line:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health
