relationship_element_id,start_node_element_id,end_node_element_id,score
REVIEW_SUGGESTS|ConnectionReview|review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override|Custodian|custodian:services-australia,ConnectionReview|review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override,Custodian|custodian:services-australia,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:services-australia:1:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:services-australia:1:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:services-australia:2:department-of-health-and-aged-care-polic|Custodian|custodian:department-of-health-and-aged-care,ConnectionReview|review:custodian:services-australia:2:department-of-health-and-aged-care-polic,Custodian|custodian:department-of-health-and-aged-care,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override|Custodian|custodian:services-australia,ConnectionReview|review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override,Custodian|custodian:services-australia,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:apra:1:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:apra:1:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nsw-health-ministry-of-health-nsw:1:centre-for-health-record-linkage-cherel-|Custodian|custodian:cherel,ConnectionReview|review:custodian:nsw-health-ministry-of-health-nsw:1:centre-for-health-record-linkage-cherel-,Custodian|custodian:cherel,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:cherel:1:australian-bureau-of-statistics-abs-for-|Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:cherel:1:australian-bureau-of-statistics-abs-for-,Custodian|custodian:australian-bureau-of-statistics,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:vahi:1:centre-for-victorian-data-linkage-cvdl-f|Custodian|custodian:centre-for-victorian-data-linkage-cvdl,ConnectionReview|review:custodian:vahi:1:centre-for-victorian-data-linkage-cvdl-f,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,1.0
