node_element_id,name
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1048,Australian Capital Territory
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1042,Commonwealth
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1052,Cross-jurisdictional
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1043,New South Wales
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1050,New South Wales and Australian Capital Territory
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1049,Northern Territory
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1045,Queensland
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1051,South Australia and Northern Territory
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1047,Tasmania
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1044,Victoria
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1046,Western Australia
