node_element_id,actor,channel,id,lane,stepNumber,text,timeline
4:699adb08-f1e5-4be8-b17b-792b62a6747d:800,Researcher,N/A,step:custodian:act-health:1,Researcher,1,Plan your study,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:809,ACT Health Data Linkage Team,N/A,step:custodian:act-health:10,Researcher,10,The ACT Health Data Linkage Team will extract and release the linked data to the researcher ensuring that signed ACT Health Conditions of Release are current and all appropriate approvals are in place,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:810,Researcher,N/A,step:custodian:act-health:11,Researcher,11,Data analysis is conducted with findings provided to the ACT Health Data Linkage Team before release or publication of results,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:801,Researcher,N/A,step:custodian:act-health:2,Researcher,2,Contact the CHeReL to discuss your project,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:802,Researcher,https://www.cherel.org.au/apply,step:custodian:act-health:3,Researcher,3,Complete the CHeReL Combined Protocol and Application for Data form,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:803,Researcher,N/A,step:custodian:act-health:4,Researcher,4,Complete the required ethics approval forms,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:804,Researcher,N/A,step:custodian:act-health:5,Researcher,5,Provide document to the CHeReL for a technical feasibility review,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:805,Researcher,N/A,step:custodian:act-health:6,Researcher,6,Obtain ethics approvals from ACT Health Human Research Ethics Committee,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:806,Researcher,https://act-health.atlassian.net/servicedesk/customer/portal/20,step:custodian:act-health:7,Researcher,7,Request data custodian approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:807,ACT Health Data Linkage Team,N/A,step:custodian:act-health:8,Researcher,8,The ACT Health Data Linkage Team will coordinate approval from data custodians and notify the researcher and the CHeReL of approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:808,CHeReL,N/A,step:custodian:act-health:9,Custodian,9,CHeReL will process the data linkage,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:746,Applicant/ABS,N/A,step:custodian:australian-bureau-of-statistics-datalab:1,Researcher,1,Ensure you meet requirements,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:747,Applicant,myDATA Portal (https://mydataportal.abs.gov.au/),step:custodian:australian-bureau-of-statistics-datalab:2,Researcher,2,Register and activate your account,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:748,Applicant,myDATA Portal (https://mydataportal.abs.gov.au/),step:custodian:australian-bureau-of-statistics-datalab:3,Researcher,3,Submit project proposal,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:749,Applicant,N/A,step:custodian:australian-bureau-of-statistics-datalab:4,Researcher,4,Complete DataLab safe researcher training and onboarding,Approximately 4 weeks for training registration [7]
4:699adb08-f1e5-4be8-b17b-792b62a6747d:738,Researcher,myDATA Portal (https://mydata.abs.gov.au),step:custodian:australian-bureau-of-statistics:1,Researcher,1,Project Proposal,2-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:739,Researcher,Online,step:custodian:australian-bureau-of-statistics:2,Researcher,2,Safe Researcher Training,1-2 days
4:699adb08-f1e5-4be8-b17b-792b62a6747d:740,ABS,DataLab (https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab),step:custodian:australian-bureau-of-statistics:3,Custodian,3,Data Access,4-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:677,Researcher,"Not specified, contact medicineinsight@safetyandquality.gov.au",step:custodian:australian-commission-on-safety-and-quality-in-health-care:1,Researcher,1,Submit application,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:678,Researcher,"Not publicly available, likely via AIHW",step:custodian:australian-digital-health-agency:1,Researcher,1,Initial Inquiry,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:679,Researcher,"Not publicly available, likely via AIHW",step:custodian:australian-digital-health-agency:2,Researcher,2,Application Submission,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:680,"My Health Record Data Governance Board (representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, independent experts)",Not publicly available,step:custodian:australian-digital-health-agency:3,EthicsRegulatory,3,Review by My Health Record Data Governance Board,Not publicly available
