node_element_id,name
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028,Commonwealth
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1029,Cross-jurisdictional
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1030,Data Discovery Service
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1031,Ethics Body
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1032,NGO
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1040,State - ACT
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1035,State - NSW
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1041,State - NT
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1037,State - QLD
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1039,State - TAS
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1036,State - VIC
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1038,State - WA
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1033,Statistical Publisher
4:699adb08-f1e5-4be8-b17b-792b62a6747d:1034,TRE/SDE
