relationship_element_id,start_node_element_id,end_node_element_id
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917529027641082895,4:699adb08-f1e5-4be8-b17b-792b62a6747d:0,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1039
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917529027641082896,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1040
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917529027641082897,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1024,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1041
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6922032627268453381,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1029
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6924284427082138629,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1029
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919780827454768138,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1034
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917529027641082884,4:699adb08-f1e5-4be8-b17b-792b62a6747d:629,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919780827454768132,4:699adb08-f1e5-4be8-b17b-792b62a6747d:630,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6922032627268453380,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6924284427082138628,4:699adb08-f1e5-4be8-b17b-792b62a6747d:632,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6926536226895823876,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6928788026709509124,4:699adb08-f1e5-4be8-b17b-792b62a6747d:634,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6931039826523194372,4:699adb08-f1e5-4be8-b17b-792b62a6747d:635,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6933291626336879620,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1028
