relationship_element_id,type,start_node_element_id,end_node_element_id,properties_json
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152928101676613632,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:0,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""NHMRC: Approves ethics applications for data linkage projects.\nPHRN: Provides the Online Application System (OAS) for submitting expressions of interest.\nSURE: A remote-access data research laboratory where linked data may be provided for analysis."", ""segment"": ""SURE: A remote-access data research laboratory where linked data may be provided for analysis""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6935550023220331135,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:0,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""NHMRC: Approves ethics applications for data linkage projects.\nPHRN: Provides the Online Application System (OAS) for submitting expressions of interest.\nSURE: A remote-access data research laboratory where linked data may be provided for analysis."", ""segment"": ""PHRN: Provides the Online Application System (OAS) for submitting expressions of interest""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6924291024151904897,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:0,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""NHMRC: Approves ethics applications for data linkage projects.\nPHRN: Provides the Online Application System (OAS) for submitting expressions of interest.\nSURE: A remote-access data research laboratory where linked data may be provided for analysis."", ""segment"": ""NHMRC: Approves ethics applications for data linkage projects""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152928101676613633,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,"{""matchScore"": 1.0, ""matchType"": ""override_force_accept"", ""rawText"": ""CHeReL: ACT Health is a founding partner of the Centre for Health Record Linkage (CHeReL) at the NSW Ministry of Health and facilitates the provision of data to researchers and government agencies."", ""segment"": ""CHeReL: ACT Health is a founding partner of the Centre for Health Record Linkage (CHeReL) at the NSW Ministry of Health and facilitates the provision of data to researchers and government agencies""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152928101676614656,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1024,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,"{""matchScore"": 1.0, ""matchType"": ""override_force_accept"", ""rawText"": ""SA NT DataLink: Key provider of data linkage services in the Northern Territory.\nAIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.\nNHMRC/HRECs: NT HREC approval is required for research projects.\nACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework."", ""segment"": ""SA NT DataLink: Key provider of data linkage services in the Northern Territory""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1159683501117670400,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1024,4:699adb08-f1e5-4be8-b17b-792b62a6747d:629,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""SA NT DataLink: Key provider of data linkage services in the Northern Territory.\nAIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.\nNHMRC/HRECs: NT HREC approval is required for research projects.\nACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework."", ""segment"": ""ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1155179901490299904,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1024,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""SA NT DataLink: Key provider of data linkage services in the Northern Territory.\nAIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.\nNHMRC/HRECs: NT HREC approval is required for research projects.\nACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework."", ""segment"": ""AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1157431701303985152,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1024,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""SA NT DataLink: Key provider of data linkage services in the Northern Territory.\nAIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.\nNHMRC/HRECs: NT HREC approval is required for research projects.\nACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework."", ""segment"": ""NHMRC/HRECs: NT HREC approval is required for research projects""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919787424524533761,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1,"{""matchScore"": 1.02, ""matchType"": ""name_leading"", ""rawText"": ""NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.\nACT Health: CHeReL provides data linkage services for ACT health data.\nPHRN: CHeReL is part of the Population Health Research Network (PHRN).\nCancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals."", ""segment"": ""ACT Health: CHeReL provides data linkage services for ACT health data""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6937801823034016383,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.\nACT Health: CHeReL provides data linkage services for ACT health data.\nPHRN: CHeReL is part of the Population Health Research Network (PHRN).\nCancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals."", ""segment"": ""PHRN: CHeReL is part of the Population Health Research Network (PHRN)""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6919787424524534408,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,4:699adb08-f1e5-4be8-b17b-792b62a6747d:648,"{""matchScore"": 1.02, ""matchType"": ""name_leading"", ""rawText"": ""NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.\nACT Health: CHeReL provides data linkage services for ACT health data.\nPHRN: CHeReL is part of the Population Health Research Network (PHRN).\nCancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals."", ""segment"": ""Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6922039224338219657,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1025,4:699adb08-f1e5-4be8-b17b-792b62a6747d:649,"{""matchScore"": 1.0, ""matchType"": ""override_force_accept"", ""rawText"": ""NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.\nACT Health: CHeReL provides data linkage services for ACT health data.\nPHRN: CHeReL is part of the Population Health Research Network (PHRN).\nCancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals."", ""segment"": ""NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6924291024151904892,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,"{""matchScore"": 1.02, ""matchType"": ""name_leading"", ""rawText"": ""Services Australia (for MBS, PBS, and Centrelink data used in linked projects); Population Health Research Network (PHRN) (national linkage network membership)"", ""segment"": ""Services Australia (for MBS, PBS, and Centrelink data used in linked projects)""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6940053622847701631,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1026,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,"{""matchScore"": 1.02, ""matchType"": ""name_leading"", ""rawText"": ""Services Australia (for MBS, PBS, and Centrelink data used in linked projects); Population Health Research Network (PHRN) (national linkage network membership)"", ""segment"": ""Population Health Research Network (PHRN) (national linkage network membership)""}"
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6942305422661386871,CONNECTED_TO,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,"{""matchScore"": 1.01, ""matchType"": ""alias_leading"", ""rawText"": ""PHRN: SURE is supported by the Population Health Research Network.\nAIHW: AIHW data is accessed via SURE.\nCancer Institute NSW: Cancer Institute NSW data is accessed via SURE.\nDepartment of Health and Aged Care: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.\nNSW Health: NSW Government supports SURE."", ""segment"": ""Department of Health and Aged Care: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government""}"
