id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status
review:custodian:aihw:1:department-of-social-services-dss-makes-:override-reject,custodian:aihw,AIHW,Department of Social Services (DSS) (makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW),Department of Social Services (DSS) (makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW),,,0.0,override_force_reject,review_required
review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.","The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.","The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects",Services Australia,custodian:services-australia,1.0,override_force_accept,accepted
review:custodian:services-australia:1:australian-institute-of-health-and-welfa,custodian:services-australia,Services Australia,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:services-australia:2:department-of-health-and-aged-care-polic,custodian:services-australia,Services Australia,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,Department of Health and Aged Care — policy department involved in data release decisions,Department of Health and Aged Care,custodian:department-of-health-and-aged-care,1.0,name_exact,accepted
review:custodian:services-australia:3:1:other-state-territory-health-d:override,custodian:services-australia,Services Australia,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,Other state/territory health departments — for cross-jurisdictional data linkage projects,,,0.0,override_review_only,review_required
review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override,custodian:department-of-health-and-aged-care,Department of Health and Aged Care,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)","Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override,custodian:department-of-health-and-aged-care,Department of Health and Aged Care,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)","Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",Services Australia,custodian:services-australia,1.0,override_force_accept,accepted
review:custodian:tga:1:verify-with-custodian:override-reject,custodian:tga,TGA,(verify with custodian),(verify with custodian),,,0.0,override_force_reject,review_required
review:custodian:apra:1:australian-institute-of-health-and-welfa,custodian:apra,APRA,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting.,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:nsw-health-ministry-of-health-nsw:1:centre-for-health-record-linkage-cherel-,custodian:nsw-health-ministry-of-health-nsw,NSW Health — Ministry of Health NSW,"Centre for Health Record Linkage (CHeReL) for data linkage projects within NSW, NSW Aboriginal Health and Medical Research Council (AH&MRC) Ethics Committee for Indigenous data requests","Centre for Health Record Linkage (CHeReL) for data linkage projects within NSW, NSW Aboriginal Health and Medical Research Council (AH&MRC) Ethics Committee for Indigenous data requests",CHeReL,custodian:cherel,1.0,name_exact,accepted
