node_element_id,candidateCustodian,id,matchType,rawText,score,segment,status
ConnectionReview|review:custodian:aihw:1:department-of-social-services-dss-makes-:override-reject,,review:custodian:aihw:1:department-of-social-services-dss-makes-:override-reject,override_force_reject,Department of Social Services (DSS) (makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW),0.0,Department of Social Services (DSS) (makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW),review_required
ConnectionReview|review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override,AIHW,review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override,override_force_accept,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.",1.0,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects",accepted
ConnectionReview|review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override,Services Australia,review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override,override_force_accept,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.",1.0,"The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects",accepted
ConnectionReview|review:custodian:services-australia:1:australian-institute-of-health-and-welfa,AIHW,review:custodian:services-australia:1:australian-institute-of-health-and-welfa,name_exact,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,1.0,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting,accepted
ConnectionReview|review:custodian:services-australia:2:department-of-health-and-aged-care-polic,Department of Health and Aged Care,review:custodian:services-australia:2:department-of-health-and-aged-care-polic,name_exact,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,1.0,Department of Health and Aged Care — policy department involved in data release decisions,accepted
ConnectionReview|review:custodian:services-australia:3:1:other-state-territory-health-d:override,,review:custodian:services-australia:3:1:other-state-territory-health-d:override,override_review_only,Australian Institute of Health and Welfare (AIHW) — often links with Services Australia MBS/PBS data for broader health research and reporting; Department of Health and Aged Care — policy department involved in data release decisions; Other state/territory health departments — for cross-jurisdictional data linkage projects,0.0,Other state/territory health departments — for cross-jurisdictional data linkage projects,review_required
ConnectionReview|review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override,AIHW,review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override,override_force_accept,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",1.0,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",accepted
ConnectionReview|review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override,Services Australia,review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override,override_force_accept,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",1.0,"Australian Institute of Health and Welfare (AIHW) (for NIHSI/NHDH, GTD data), Services Australia (for Medicare statistics, MBS/PBS data), State and territory health authorities (for NIHSI/NHDH)",accepted
ConnectionReview|review:custodian:tga:1:verify-with-custodian:override-reject,,review:custodian:tga:1:verify-with-custodian:override-reject,override_force_reject,(verify with custodian),0.0,(verify with custodian),review_required
ConnectionReview|review:custodian:apra:1:australian-institute-of-health-and-welfa,AIHW,review:custodian:apra:1:australian-institute-of-health-and-welfa,name_exact,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting.,1.0,Australian Institute of Health and Welfare (AIHW) — AIHW uses APRA data to compute the proportion of total private health insurance provider revenue paid out as health benefits and spent as health administration for health expenditure reporting,accepted
