relationship_element_id,start_node_element_id,end_node_element_id
HAS_CONNECTION_REVIEW|Custodian|custodian:aihw|ConnectionReview|review:custodian:aihw:1:department-of-social-services-dss-makes-:override-reject,Custodian|custodian:aihw,ConnectionReview|review:custodian:aihw:1:department-of-social-services-dss-makes-:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:australian-bureau-of-statistics|ConnectionReview|review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override,Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:australian-bureau-of-statistics:1:1:the-abs-frequently-collaborate:override
HAS_CONNECTION_REVIEW|Custodian|custodian:australian-bureau-of-statistics|ConnectionReview|review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override,Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:australian-bureau-of-statistics:1:2:the-abs-frequently-collaborate:override
HAS_CONNECTION_REVIEW|Custodian|custodian:services-australia|ConnectionReview|review:custodian:services-australia:1:australian-institute-of-health-and-welfa,Custodian|custodian:services-australia,ConnectionReview|review:custodian:services-australia:1:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:services-australia|ConnectionReview|review:custodian:services-australia:2:department-of-health-and-aged-care-polic,Custodian|custodian:services-australia,ConnectionReview|review:custodian:services-australia:2:department-of-health-and-aged-care-polic
HAS_CONNECTION_REVIEW|Custodian|custodian:services-australia|ConnectionReview|review:custodian:services-australia:3:1:other-state-territory-health-d:override,Custodian|custodian:services-australia,ConnectionReview|review:custodian:services-australia:3:1:other-state-territory-health-d:override
HAS_CONNECTION_REVIEW|Custodian|custodian:department-of-health-and-aged-care|ConnectionReview|review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override,Custodian|custodian:department-of-health-and-aged-care,ConnectionReview|review:custodian:department-of-health-and-aged-care:1:1:australian-institute-of-health:override
HAS_CONNECTION_REVIEW|Custodian|custodian:department-of-health-and-aged-care|ConnectionReview|review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override,Custodian|custodian:department-of-health-and-aged-care,ConnectionReview|review:custodian:department-of-health-and-aged-care:1:2:australian-institute-of-health:override
HAS_CONNECTION_REVIEW|Custodian|custodian:tga|ConnectionReview|review:custodian:tga:1:verify-with-custodian:override-reject,Custodian|custodian:tga,ConnectionReview|review:custodian:tga:1:verify-with-custodian:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:apra|ConnectionReview|review:custodian:apra:1:australian-institute-of-health-and-welfa,Custodian|custodian:apra,ConnectionReview|review:custodian:apra:1:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:nsw-health-ministry-of-health-nsw|ConnectionReview|review:custodian:nsw-health-ministry-of-health-nsw:1:centre-for-health-record-linkage-cherel-,Custodian|custodian:nsw-health-ministry-of-health-nsw,ConnectionReview|review:custodian:nsw-health-ministry-of-health-nsw:1:centre-for-health-record-linkage-cherel-
HAS_CONNECTION_REVIEW|Custodian|custodian:cherel|ConnectionReview|review:custodian:cherel:1:australian-bureau-of-statistics-abs-for-,Custodian|custodian:cherel,ConnectionReview|review:custodian:cherel:1:australian-bureau-of-statistics-abs-for-
HAS_CONNECTION_REVIEW|Custodian|custodian:cancer-institute-nsw|ConnectionReview|review:custodian:cancer-institute-nsw:1:not-explicitly-stated-but-potential-conn:override-reject,Custodian|custodian:cancer-institute-nsw,ConnectionReview|review:custodian:cancer-institute-nsw:1:not-explicitly-stated-but-potential-conn:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:vahi|ConnectionReview|review:custodian:vahi:1:centre-for-victorian-data-linkage-cvdl-f,Custodian|custodian:vahi,ConnectionReview|review:custodian:vahi:1:centre-for-victorian-data-linkage-cvdl-f
HAS_CONNECTION_REVIEW|Custodian|custodian:vahi|ConnectionReview|review:custodian:vahi:2:australian-institute-of-health-and-welfa,Custodian|custodian:vahi,ConnectionReview|review:custodian:vahi:2:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:victorian-cancer-registry|ConnectionReview|review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa,Custodian|custodian:victorian-cancer-registry,ConnectionReview|review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa
HAS_CONNECTION_REVIEW|Custodian|custodian:victorian-cancer-registry|ConnectionReview|review:custodian:victorian-cancer-registry:2:family-cancer-centres-to-assess-cancer-r,Custodian|custodian:victorian-cancer-registry,ConnectionReview|review:custodian:victorian-cancer-registry:2:family-cancer-centres-to-assess-cancer-r
HAS_CONNECTION_REVIEW|Custodian|custodian:victorian-cancer-registry|ConnectionReview|review:custodian:victorian-cancer-registry:3:department-of-health-and-human-services-,Custodian|custodian:victorian-cancer-registry,ConnectionReview|review:custodian:victorian-cancer-registry:3:department-of-health-and-human-services-
HAS_CONNECTION_REVIEW|Custodian|custodian:victorian-cancer-registry|ConnectionReview|review:custodian:victorian-cancer-registry:4:victorian-comprehensive-cancer-centre-vc,Custodian|custodian:victorian-cancer-registry,ConnectionReview|review:custodian:victorian-cancer-registry:4:victorian-comprehensive-cancer-centre-vc
HAS_CONNECTION_REVIEW|Custodian|custodian:centre-for-victorian-data-linkage-cvdl|ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:1:population-health-research-net:override,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:1:population-health-research-net:override
HAS_CONNECTION_REVIEW|Custodian|custodian:centre-for-victorian-data-linkage-cvdl|ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:2:population-health-research-net:override,Custodian|custodian:centre-for-victorian-data-linkage-cvdl,ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:2:population-health-research-net:override
HAS_CONNECTION_REVIEW|Custodian|custodian:queensland-health|ConnectionReview|review:custodian:queensland-health:1:statistical-analysis-and-linkage-unit-da,Custodian|custodian:queensland-health,ConnectionReview|review:custodian:queensland-health:1:statistical-analysis-and-linkage-unit-da
HAS_CONNECTION_REVIEW|Custodian|custodian:qcif|ConnectionReview|review:custodian:qcif:1:australian-access-federation-aaf-for-res:override-reject,Custodian|custodian:qcif,ConnectionReview|review:custodian:qcif:1:australian-access-federation-aaf-for-res:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:qcif|ConnectionReview|review:custodian:qcif:2:australian-state-and-federal-data-custod:override-reject,Custodian|custodian:qcif,ConnectionReview|review:custodian:qcif:2:australian-state-and-federal-data-custod:override-reject
HAS_CONNECTION_REVIEW|Custodian|custodian:wa-health-data-linkage-services-wa|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:1:department-of-transport-main-roads-wa-in,Custodian|custodian:wa-health-data-linkage-services-wa,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:1:department-of-transport-main-roads-wa-in
HAS_CONNECTION_REVIEW|Custodian|custodian:wa-health-data-linkage-services-wa|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:1:other-state-and-territory-data:override,Custodian|custodian:wa-health-data-linkage-services-wa,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:1:other-state-and-territory-data:override
HAS_CONNECTION_REVIEW|Custodian|custodian:wa-health-data-linkage-services-wa|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:2:other-state-and-territory-data:override,Custodian|custodian:wa-health-data-linkage-services-wa,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:2:other-state-and-territory-data:override
HAS_CONNECTION_REVIEW|Custodian|custodian:sa-health-sa-nt-datalink|ConnectionReview|review:custodian:sa-health-sa-nt-datalink:1:australian-government-data-custodians-fo,Custodian|custodian:sa-health-sa-nt-datalink,ConnectionReview|review:custodian:sa-health-sa-nt-datalink:1:australian-government-data-custodians-fo
HAS_CONNECTION_REVIEW|Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu|ConnectionReview|review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1:data-custodians-for-each-dataset-involve,Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,ConnectionReview|review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1:data-custodians-for-each-dataset-involve
HAS_CONNECTION_REVIEW|Custodian|custodian:act-health|ConnectionReview|review:custodian:act-health:1:1:centre-for-health-record-linka:override,Custodian|custodian:act-health,ConnectionReview|review:custodian:act-health:1:1:centre-for-health-record-linka:override
HAS_CONNECTION_REVIEW|Custodian|custodian:nt-health-nt-health-research-governance-office|ConnectionReview|review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-for-linked-data:override,Custodian|custodian:nt-health-nt-health-research-governance-office,ConnectionReview|review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-for-linked-data:override
HAS_CONNECTION_REVIEW|Custodian|custodian:phrn|ConnectionReview|review:custodian:phrn:1:state-and-territory-data-linkage-units-d,Custodian|custodian:phrn,ConnectionReview|review:custodian:phrn:1:state-and-territory-data-linkage-units-d
HAS_CONNECTION_REVIEW|Custodian|custodian:sure-secure-unified-research-environment|ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:1:population-health-research-net:override,Custodian|custodian:sure-secure-unified-research-environment,ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:1:population-health-research-net:override
