relationship_element_id,start_node_element_id,end_node_element_id
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,",Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,"
HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request,Custodian|custodian:aihw,SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,",Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,"
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,",Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,"
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,",Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,"
"HAS_SOURCE|Custodian|custodian:australian-bureau-of-statistics|SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder,",Custodian|custodian:australian-bureau-of-statistics,"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder,"
"HAS_SOURCE|Custodian|custodian:australian-bureau-of-statistics|SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,",Custodian|custodian:australian-bureau-of-statistics,"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,"
HAS_SOURCE|Custodian|custodian:australian-bureau-of-statistics|SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata,Custodian|custodian:australian-bureau-of-statistics,SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata
HAS_SOURCE|Custodian|custodian:services-australia|SourceURL|https://www.oaic.gov.au/privacy/privacy-legislation/related-legislation/medicare-and-pharmaceutical-benefits,Custodian|custodian:services-australia,SourceURL|https://www.oaic.gov.au/privacy/privacy-legislation/related-legislation/medicare-and-pharmaceutical-benefits
"HAS_SOURCE|Custodian|custodian:services-australia|SourceURL|https://www.servicesaustralia.gov.au/statistical-information-and-data?context=22,",Custodian|custodian:services-australia,"SourceURL|https://www.servicesaustralia.gov.au/statistical-information-and-data?context=22,"
"HAS_SOURCE|Custodian|custodian:department-of-health-and-aged-care|SourceURL|https://hwd.health.gov.au/using-our-website/privacy.html,",Custodian|custodian:department-of-health-and-aged-care,"SourceURL|https://hwd.health.gov.au/using-our-website/privacy.html,"
HAS_SOURCE|Custodian|custodian:department-of-health-and-aged-care|SourceURL|https://www.aihw.gov.au/reports-data/nhdh/access,Custodian|custodian:department-of-health-and-aged-care,SourceURL|https://www.aihw.gov.au/reports-data/nhdh/access
"HAS_SOURCE|Custodian|custodian:department-of-health-and-aged-care|SourceURL|https://www.health.gov.au/resources/publications/data-access-and-release-policy?language=en,",Custodian|custodian:department-of-health-and-aged-care,"SourceURL|https://www.health.gov.au/resources/publications/data-access-and-release-policy?language=en,"
"HAS_SOURCE|Custodian|custodian:department-of-health-and-aged-care|SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/data-strategy?language=en,",Custodian|custodian:department-of-health-and-aged-care,"SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/data-strategy?language=en,"
"HAS_SOURCE|Custodian|custodian:department-of-health-and-aged-care|SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/our-data-collections?language=en,",Custodian|custodian:department-of-health-and-aged-care,"SourceURL|https://www.health.gov.au/topics/health-data-and-medical-research/our-data-collections?language=en,"
"HAS_SOURCE|Custodian|custodian:tga|SourceURL|https://www.tga.gov.au/about-us/role-tga,",Custodian|custodian:tga,"SourceURL|https://www.tga.gov.au/about-us/role-tga,"
HAS_SOURCE|Custodian|custodian:tga|SourceURL|https://www.tga.gov.au/products/regulations-all-products/manufacturing/data-management-and-data-integrity-dmdi,Custodian|custodian:tga,SourceURL|https://www.tga.gov.au/products/regulations-all-products/manufacturing/data-management-and-data-integrity-dmdi
"HAS_SOURCE|Custodian|custodian:tga|SourceURL|https://www.tga.gov.au/safety/shortages-and-supply-disruptions/medicine-shortages/data-sharing-help-manage-serious-shortages-hospital-medicines/medicine-shortages-data-sharing-framework,",Custodian|custodian:tga,"SourceURL|https://www.tga.gov.au/safety/shortages-and-supply-disruptions/medicine-shortages/data-sharing-help-manage-serious-shortages-hospital-medicines/medicine-shortages-data-sharing-framework,"
"HAS_SOURCE|Custodian|custodian:tga|SourceURL|https://www.tga.gov.au/search?keywords=data+access&submit=Search,",Custodian|custodian:tga,"SourceURL|https://www.tga.gov.au/search?keywords=data+access&submit=Search,"
HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.aihw.gov.au/reports/health-welfare-expenditure/health-expenditure-australia-2023-24/contents/overview-of-data-sources-and-methodology/data-processing-the-australian-government,Custodian|custodian:apra,SourceURL|https://www.aihw.gov.au/reports/health-welfare-expenditure/health-expenditure-australia-2023-24/contents/overview-of-data-sources-and-methodology/data-processing-the-australian-government
"HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.apra.gov.au/data-and-statistics,",Custodian|custodian:apra,"SourceURL|https://www.apra.gov.au/data-and-statistics,"
"HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.apra.gov.au/national-claims-and-policies-database-statistics,",Custodian|custodian:apra,"SourceURL|https://www.apra.gov.au/national-claims-and-policies-database-statistics,"
"HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.apra.gov.au/operations-of-private-health-insurers-annual-report,",Custodian|custodian:apra,"SourceURL|https://www.apra.gov.au/operations-of-private-health-insurers-annual-report,"
"HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.apra.gov.au/quarterly-private-health-insurance-statistics,",Custodian|custodian:apra,"SourceURL|https://www.apra.gov.au/quarterly-private-health-insurance-statistics,"
"HAS_SOURCE|Custodian|custodian:apra|SourceURL|https://www.apra.gov.au/statistics,",Custodian|custodian:apra,"SourceURL|https://www.apra.gov.au/statistics,"
HAS_SOURCE|Custodian|custodian:nsw-health-ministry-of-health-nsw|SourceURL|https://aci.health.nsw.gov.au/networks/trauma/data/request,Custodian|custodian:nsw-health-ministry-of-health-nsw,SourceURL|https://aci.health.nsw.gov.au/networks/trauma/data/request
"HAS_SOURCE|Custodian|custodian:nsw-health-ministry-of-health-nsw|SourceURL|https://aci.health.nsw.gov.au/support-for-innovation/data-requests,",Custodian|custodian:nsw-health-ministry-of-health-nsw,"SourceURL|https://aci.health.nsw.gov.au/support-for-innovation/data-requests,"
