relationship_element_id,type,start_node_element_id,end_node_element_id,properties_json
HAS_TYPE|Custodian|custodian:aihw|CustodianType|Commonwealth,HAS_TYPE,Custodian|custodian:aihw,CustodianType|Commonwealth,{}
IN_JURISDICTION|Custodian|custodian:aihw|Jurisdiction|Commonwealth,IN_JURISDICTION,Custodian|custodian:aihw,Jurisdiction|Commonwealth,{}
OFFERS_LINE|Custodian|custodian:aihw|ProcessLine|line:custodian:aihw,OFFERS_LINE,Custodian|custodian:aihw,ProcessLine|line:custodian:aihw,{}
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:1,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:1,"{""lane"": ""Researcher"", ""order"": 1}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:2,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:2,"{""lane"": ""Researcher"", ""order"": 2}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:3,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:3,"{""lane"": ""Researcher"", ""order"": 3}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:4,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:4,"{""lane"": ""Researcher"", ""order"": 4}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:5,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:5,"{""lane"": ""EthicsRegulatory"", ""order"": 5}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:6,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:6,"{""lane"": ""Researcher"", ""order"": 6}"
HAS_STEP|ProcessLine|line:custodian:aihw|PathwayStep|step:custodian:aihw:7,HAS_STEP,ProcessLine|line:custodian:aihw,PathwayStep|step:custodian:aihw:7,"{""lane"": ""Custodian"", ""order"": 7}"
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,",HAS_SOURCE,Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,",{}
HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request,HAS_SOURCE,Custodian|custodian:aihw,SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request,{}
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,",HAS_SOURCE,Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,",{}
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,",HAS_SOURCE,Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,",{}
"HAS_SOURCE|Custodian|custodian:aihw|SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,",HAS_SOURCE,Custodian|custodian:aihw,"SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,",{}
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-health-and-welfare-data-collections|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:national-health-and-welfare-data-collections,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:australian-cancer-database|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:australian-cancer-database,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-death-index|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:national-death-index,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-hospitals-data-collection|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:national-hospitals-data-collection,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-aged-care-data-clearinghouse|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:national-aged-care-data-clearinghouse,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:specialist-homelessness-services-collection|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:specialist-homelessness-services-collection,"{""source"": ""csv""}"
HAS_DATASET|Custodian|custodian:aihw|Dataset|dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care|csv,HAS_DATASET,Custodian|custodian:aihw,Dataset|dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care,"{""source"": ""csv""}"
HAS_TYPE|Custodian|custodian:australian-bureau-of-statistics|CustodianType|Commonwealth,HAS_TYPE,Custodian|custodian:australian-bureau-of-statistics,CustodianType|Commonwealth,{}
IN_JURISDICTION|Custodian|custodian:australian-bureau-of-statistics|Jurisdiction|Commonwealth,IN_JURISDICTION,Custodian|custodian:australian-bureau-of-statistics,Jurisdiction|Commonwealth,{}
OFFERS_LINE|Custodian|custodian:australian-bureau-of-statistics|ProcessLine|line:custodian:australian-bureau-of-statistics,OFFERS_LINE,Custodian|custodian:australian-bureau-of-statistics,ProcessLine|line:custodian:australian-bureau-of-statistics,{}
HAS_STEP|ProcessLine|line:custodian:australian-bureau-of-statistics|PathwayStep|step:custodian:australian-bureau-of-statistics:1,HAS_STEP,ProcessLine|line:custodian:australian-bureau-of-statistics,PathwayStep|step:custodian:australian-bureau-of-statistics:1,"{""lane"": ""Researcher"", ""order"": 1}"
HAS_STEP|ProcessLine|line:custodian:australian-bureau-of-statistics|PathwayStep|step:custodian:australian-bureau-of-statistics:2,HAS_STEP,ProcessLine|line:custodian:australian-bureau-of-statistics,PathwayStep|step:custodian:australian-bureau-of-statistics:2,"{""lane"": ""Researcher"", ""order"": 2}"
