relationship_element_id,start_node_element_id,end_node_element_id,lane,order
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965861,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1053,4:699adb08-f1e5-4be8-b17b-792b62a6747d:677,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965862,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1054,4:699adb08-f1e5-4be8-b17b-792b62a6747d:678,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965863,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1054,4:699adb08-f1e5-4be8-b17b-792b62a6747d:679,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965864,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1054,4:699adb08-f1e5-4be8-b17b-792b62a6747d:680,EthicsRegulatory,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965865,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1054,4:699adb08-f1e5-4be8-b17b-792b62a6747d:681,Custodian,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965866,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1055,4:699adb08-f1e5-4be8-b17b-792b62a6747d:682,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965867,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1055,4:699adb08-f1e5-4be8-b17b-792b62a6747d:683,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965868,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1055,4:699adb08-f1e5-4be8-b17b-792b62a6747d:684,EthicsRegulatory,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965869,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1055,4:699adb08-f1e5-4be8-b17b-792b62a6747d:685,Researcher,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965870,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1056,4:699adb08-f1e5-4be8-b17b-792b62a6747d:686,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965871,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1056,4:699adb08-f1e5-4be8-b17b-792b62a6747d:687,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965872,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1056,4:699adb08-f1e5-4be8-b17b-792b62a6747d:688,EthicsRegulatory,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965873,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1056,4:699adb08-f1e5-4be8-b17b-792b62a6747d:689,EthicsRegulatory,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965874,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1056,4:699adb08-f1e5-4be8-b17b-792b62a6747d:690,Custodian,5
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965875,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1057,4:699adb08-f1e5-4be8-b17b-792b62a6747d:691,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965876,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1057,4:699adb08-f1e5-4be8-b17b-792b62a6747d:692,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965877,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1057,4:699adb08-f1e5-4be8-b17b-792b62a6747d:693,Researcher,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965878,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1057,4:699adb08-f1e5-4be8-b17b-792b62a6747d:694,Researcher,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965879,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1058,4:699adb08-f1e5-4be8-b17b-792b62a6747d:695,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965880,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1058,4:699adb08-f1e5-4be8-b17b-792b62a6747d:696,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965881,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1058,4:699adb08-f1e5-4be8-b17b-792b62a6747d:697,Researcher,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965882,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1058,4:699adb08-f1e5-4be8-b17b-792b62a6747d:698,Custodian,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965883,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:699,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965884,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:700,Researcher,2
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965885,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:701,Researcher,3
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965886,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:702,Researcher,4
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965887,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:703,EthicsRegulatory,5
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965888,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1059,4:699adb08-f1e5-4be8-b17b-792b62a6747d:704,Custodian,6
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965889,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1060,4:699adb08-f1e5-4be8-b17b-792b62a6747d:705,Researcher,1
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917532326175965890,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1060,4:699adb08-f1e5-4be8-b17b-792b62a6747d:706,Researcher,2
