relationship_element_id,start_node_element_id,end_node_element_id,score
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870454,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1270,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870455,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1271,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870456,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1272,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870457,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1273,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870458,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1274,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870459,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1275,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870460,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1276,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870461,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1277,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870463,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1279,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870464,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1280,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870465,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1281,4:699adb08-f1e5-4be8-b17b-792b62a6747d:641,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870466,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1282,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870467,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1283,4:699adb08-f1e5-4be8-b17b-792b62a6747d:634,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870468,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1284,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1027,1.0
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870469,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1285,4:699adb08-f1e5-4be8-b17b-792b62a6747d:636,1.02
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870470,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1286,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870471,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1287,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870472,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1288,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870473,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1289,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870474,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1290,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870475,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1291,4:699adb08-f1e5-4be8-b17b-792b62a6747d:639,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870476,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1292,4:699adb08-f1e5-4be8-b17b-792b62a6747d:631,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870477,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1293,4:699adb08-f1e5-4be8-b17b-792b62a6747d:633,1.01
5:699adb08-f1e5-4be8-b17b-792b62a6747d:1152930300699870478,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1294,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,1.01
