Custodian Name,Short Name,Custodian Type,Jurisdiction,Primary Role,Key Datasets,Access Pathway Steps,Ethics and Governance Requirements,TRE / Secure Access Platform,Contact and Application Portal,Indicative Timeline,Connections to Other Custodians,Source URLs,Classification Note
Australian Commission on Safety and Quality in Health Care,ACSQHC,Commonwealth,Commonwealth,"The Australian Commission on Safety and Quality in Health Care (ACSQHC) is a national body responsible for leading and coordinating improvements in safety and quality in health care across Australia. It develops national standards, clinical care guidelines, and indicators to drive safer, higher quality care and better health outcomes. The ACSQHC also plays a key role in the National Clinical Quality Registry Program, supporting the collection and use of clinical data to monitor the safety and performance of treatments and devices.","Australasian Pelvic Floor Procedure Registry (APFPR)|Monitors the safety and quality of care relating to pelvic floor procedures.|De-identified|Yes via patient ID
Australian Breast Device Registry|Monitors the safety and performance of breast implants.|De-identified|Yes via patient ID
National Cardiac Registry|Collects data on cardiac procedures and outcomes to improve quality of care.|De-identified|Yes via patient ID","Not publicly available for general ACSQHC data. For MedicineInsight data: Step 1: Submit application | Actor: Researcher | Form/Portal: Not specified, contact medicineinsight@safetyandquality.gov.au | Duration: Not specified","The ACSQHC operates under its Data Governance Framework, which specifies obligations regarding data acquisition, maintenance, sharing, and permissions. It also operates within the DATA Scheme for accessing and sharing Australian Government data, established through the Data Availability and Transparency Act 2022. Ethics approval from a Human Research Ethics Committee (HREC) is generally required for access to identifiable or potentially re-identifiable data.",,General inquiries: mail@safetyandquality.gov.au; Phone: (Australia) 02 9126 3600; MedicineInsight data access: MedicineInsight@safetyandquality.gov.au,"Not publicly available for general ACSQHC data. For other Commonwealth entities, data access can range from 4-6 months for approved requests.","AIHW: Collaboration on data standards and national health data initiatives, as mentioned in the ACSQHC Data Plan 2024-2027.
Department of Health and Aged Care: Works in partnership on the National Clinical Quality Registry Program and other health initiatives.
NHMRC/HRECs: Engages with Human Research Ethics Committees for ethical oversight of data use in clinical quality registries.","https://www.safetyandquality.gov.au/about-us
https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/national-guidance-clinical-quality-registries
https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/medicineinsight/medicineinsight-privacy-security-and-governance
https://www.safetyandquality.gov.au/about-us/governance/data-governance
https://www.health.gov.au/our-work/national-clinical-quality-registry-program?language=en",Standard custodian — no special classification needed
Australian Digital Health Agency,ADHA,Commonwealth,Commonwealth,"The Australian Digital Health Agency (ADHA) is a corporate Commonwealth entity responsible for stewarding and accelerating the delivery of end-to-end connected healthcare for all Australians. It aims to improve health outcomes through the development and delivery of national digital health services and infrastructure, including My Health Record and Electronic Prescriptions. [1] [2]","My Health Record|A secure online summary of an individual's health information, including immunisations, medications, hospital discharge summaries, pathology and diagnostic imaging reports.|Yes|Yes
Electronic Prescriptions|Digital versions of paper prescriptions, providing a secure and convenient alternative for prescribing and dispensing medicines.|Yes|Yes
National Clinical Terminology Service (NCTS)|Provides national clinical terminologies and vocabularies (e.g., SNOMED CT-AU, AMT) to support consistent and accurate health information recording and exchange.|No|Yes","Step 1: Initial Inquiry | Actor: Researcher | Form/Portal: Not publicly available, likely via AIHW | Duration: Not publicly available
Step 2: Application Submission | Actor: Researcher | Form/Portal: Not publicly available, likely via AIHW | Duration: Not publicly available
Step 3: Review by My Health Record Data Governance Board | Actor: My Health Record Data Governance Board (representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, independent experts) | Form/Portal: Not publicly available | Duration: Not publicly available
Step 4: Data Release | Actor: AIHW | Form/Portal: Not publicly available | Duration: Not publicly available","The Australian Digital Health Agency operates under the Public Governance, Performance and Accountability Act 2013 and the Public Governance, Performance and Accountability (Establishing the Australian Digital Health Agency) Rule 2016. [2] For My Health Record data, secondary use is guided by the My Health Records Act 2012 and a Framework to guide the use of data for research or public health purposes. [3] Applications for identified data require strict ethics approvals. [3] Governance is provided by a skills-based Board and four advisory committees: Clinical and Technical, Jurisdictional, Consumer, and Privacy and Security Advisory Committees. [2]",,"General enquiries: help@digitalhealth.gov.au, 1300 901 001 (8am - 5pm AEST, Mon-Fri) [4]
My Health Record enquiries: 1800 723 471 (option 1), 24/7 [4]
Australian Digital Health Agency Contact form: https://www.digitalhealth.gov.au/support/contact-us#contact-form [4]",Not publicly available,"Australian Institute of Health and Welfare (AIHW): AIHW has been appointed as the Data Custodian to manage the use of My Health Record system data for research or public health purposes. [3]
Department of Health and Aged Care: The Department of Health and Aged Care is leading the implementation of the framework for secondary use of My Health Record data in partnership with ADHA and AIHW. [3]
Services Australia: ADHA collaborates with Services Australia for Healthcare Identifiers (HPI-Is, HPI-Os, IHIs) and eBusiness Service Centre support. [4]","https://www.digitalhealth.gov.au/ [1]
https://www.digitalhealth.gov.au/about-us [2]
https://www.digitalhealth.gov.au/initiatives-and-programs/my-health-record/manage-your-record/privacy-and-access/secondary-use-of-data [3]
https://www.digitalhealth.gov.au/support/contact-us [4]",Standard custodian — no special classification needed
Australian Government Department of Health and Aged Care,DoHAC,Commonwealth,Commonwealth,"The Australian Government Department of Health and Aged Care is responsible for funding and regulating health care and aged care services. Its primary role in the health data ecosystem is to collect, manage, and release health and aged care data to support research, policy development, and improve health outcomes for all Australians, while ensuring privacy and confidentiality.","Private Hospital Data Bureau (PHDB) data|De-identified information from private hospitals including patient demographics, hospital episodes, clinical information, and hospital charges.|De-identified|Yes via patient ID
Hospital Casemix Protocol (HCP) data|Clinical, demographic, and financial information for privately insured admitted patients.|De-identified|Yes via patient ID
National Notifiable Diseases Surveillance System (NNDSS)|Coordinates data on more than 70 diseases that present a risk to public health in Australia.|De-identified|No
Medicare data (MBS and PBS statistics)|Statistics on use of the Medicare Benefits Schedule (MBS) and Pharmaceutical Benefits Scheme (PBS).|De-identified|No
National Integrated Health Services Information (NIHSI)|Brings together state, territory and national administrative datasets including MBS, PBS, residential aged care, and National Death Index.|De-identified|Yes via unit record linkage","Step 1: Initial Request Form Submission | Actor: Researcher | Form/Portal: Health Data Extract Initial Request Form (PDF/Word versions available on dataportal.health.gov.au) | Duration: ~1 week
Step 2: Detailed Assessment and Follow-up Form | Actor: Department of Health and Aged Care / Researcher | Form/Portal: Follow-up form emailed to researcher | Duration: Varies, depending on complexity; assessment panel meets monthly; ~3 weeks for governance stage; ~3 weeks for data extraction
Step 3: Final Approval and Data Extraction | Actor: Department of Health and Aged Care | Form/Portal: N/A | Duration: N/A
Step 4: Data Extraction by Researcher | Actor: Researcher | Form/Portal: Health Data Portal (dataportal.health.gov.au) | Duration: N/A","Legislation: National Health Act 1953, Health Insurance Act 1973, Privacy Act 1988, Freedom of Information Act 1982.
HREC Requirements: Researchers require ethics review from their institution for any research involving humans or access to personal information, guided by the National Statement on Ethical Conduct in Human Research.
Data Governance Frameworks: Department of Health and Aged Care Data Strategy 2022–25, Our Data Governance Framework Placemat 2025. Data release is governed by privacy, confidentiality and secrecy provisions in relevant legislation, with assessment considering purpose, anonymity, consent, and privacy compliance.","Health Data Portal: https://dataportal.health.gov.au/ (This portal allows approved users to extract data. It is not explicitly referred to as a TRE, but functions as a secure access point for data extracts.)","data.release@health.gov.au (for data access and release inquiries)
Health Data Portal: https://dataportal.health.gov.au/",3-6 months for standard requests,"Australian Institute of Health and Welfare (AIHW): Collaboration on National Integrated Health Services Information (NIHSI) and data linkage requests.
Services Australia: Holds Medicare statistics that can be helpful for health professionals, researchers, journalists and the general public.
State and Territory Health Authorities: Collaboration on National Integrated Health Services Information (NIHSI).","https://www.health.gov.au/topics/health-data-and-medical-research/data-strategy?language=en
https://www.health.gov.au/topics/health-data-and-medical-research/our-data-collections?language=en
https://dataportal.health.gov.au/wps/portal/dataportalcontent/registration/requeststatsanddata/!ut/p/z0/fY0xD4IwEIX_ig6M5hpCFUaiCxIGN7jFXKRiFVtoT6P_XspkYuL4vXvvO0CoAQ09dUesraF-4gbXR1mUhUhEXIpql4g8k_KQyUKk5Qb2gP8LkyF21bbqAAfiy0qbs4XaqU57dvObQONDefZM7Mm0LTGFnb6OI-aAJ2tYvRjqcBisY-oXc2Y4Ev7tWd0j8W0M9GscbtikPl9-ANjxOCw!/
https://www.health.gov.au/news/new-name-for-department?language=en
https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Community_Affairs/Budget_Estimates_202324/Abbreviations",Standard custodian — no special classification needed
Australian Institute of Aboriginal and Torres Strait Islander Studies,AIATSIS,Commonwealth,Commonwealth,"AIATSIS is Australia's only national institution focused exclusively on the diverse history, cultures and heritage of Aboriginal and Torres Strait Islander Australia. In the health data ecosystem, it provides leadership in ethical research involving Indigenous peoples, setting standards for how data is collected, managed, and used. While not a primary health data custodian, it holds a significant collection of cultural and historical material, some of which contains health-related information, and plays a critical governance role in ensuring research is conducted in a culturally appropriate and ethical manner.","The AIATSIS Collection|A vast collection of print, audio, and visual materials on Aboriginal and Torres Strait Islander cultures, histories, and languages. Health-related information is embedded within broader cultural and social materials.|Yes|Yes, via specific research projects with ethics approval
National Aboriginal and Torres Strait Islander Health Survey (NATSIHS)|A comprehensive survey conducted by the Australian Bureau of Statistics (ABS) covering a wide range of health topics. AIATSIS provides ethical guidance and resources for researchers using this data.|De-identified|Yes, via ABS DataLab
Aboriginal and Torres Strait Islander Health Performance Framework (HPF) reports|A series of reports by the Australian Institute of Health and Welfare (AIHW) that monitor the health and wellbeing of Indigenous Australians. AIATSIS contributes to the evidence base and ethical considerations for this reporting.|De-identified|Yes, via AIHW","Step 1: Develop research proposal | Actor: Researcher | Form/Portal: N/A | Duration: Varies
Step 2: Submit ethics application | Actor: Researcher | Form/Portal: AIATSIS Research Ethics Portal (https://ethics.aiatsis.gov.au/) | Duration: 1-2 weeks
Step 3: Preliminary review | Actor: AIATSIS Research Ethics Committee Secretariat | Form/Portal: AIATSIS Research Ethics Portal | Duration: 2-4 weeks
Step 4: Committee review | Actor: AIATSIS Research Ethics Committee | Form/Portal: AIATSIS Research Ethics Portal | Duration: 4-6 weeks (dependent on meeting schedule)
Step 5: Outcome and data access | Actor: AIATSIS | Form/Portal: N/A | Duration: Varies","Legislation: Australian Institute of Aboriginal and Torres Strait Islander Studies Act 1989, Public Governance, Performance and Accountability (PGPA) Act 2013.
Ethics Framework: AIATSIS Code of Ethics for Aboriginal and Torres Strait Islander Research.
Governance Body: AIATSIS Research Ethics Committee.
Key Principles: Indigenous Data Sovereignty, Five Safes Framework.","No dedicated TRE — data provided via secure file transfer or accessed through the AIATSIS Reading Room, subject to ethical clearance and access conditions.","AIATSIS Research Ethics Portal: https://ethics.aiatsis.gov.au/
General inquiries: ethics@aiatsis.gov.au",3-6 months for standard requests,"Australian Bureau of Statistics (ABS): Collaboration on the National Aboriginal and Torres Strait Islander Health Survey.
Australian Institute of Health and Welfare (AIHW): Collaboration on the Aboriginal and Torres Strait Islander Health Performance Framework reports.
National Health and Medical Research Council (NHMRC)/Human Research Ethics Committees (HRECs): AIATSIS works with the NHMRC and HRECs to ensure ethical research practices in Indigenous health research.","https://aiatsis.gov.au/
https://aiatsis.gov.au/about/who-we-are/governance-and-structure
https://aiatsis.gov.au/research/ethical-research/application-process
https://yumi-sabe.aiatsis.gov.au/project/3330
https://www.aihw.gov.au/reports/indigenous-australians/health-performance-framework","Governance Body - primarily focused on ethical oversight and cultural heritage preservation, rather than large-scale health data provision."
Australian Institute of Health and Welfare,AIHW,Commonwealth,Commonwealth,"The Australian Institute of Health and Welfare (AIHW) is an independent statutory Australian Government agency responsible for providing meaningful health and welfare information and statistics. It achieves this by developing standards, collecting and managing data from various government agencies, and analyzing and releasing data products to inform policy and service delivery decisions for the benefit of all Australians.","Australian Cancer Database|Contains data about all new cases of cancer diagnosed in Australia since 1 January 1982, excluding basal and squamous cell carcinomas of the skin.|Yes|Yes
National Death Index|A listing of all deaths that have occurred in Australia since 1980, used for epidemiologists and clinicians in following up research cohorts using record linkage.|Yes|Yes via record linkage
National Hospitals data collection|Includes major national hospital databases such as the National Hospital Morbidity Database (NHMD), National Public Hospital Establishments Database (NPHED), and National Non-Admitted Patient Emergency Department Care Database (NNAPEDCD).|Yes|Yes via record linkage","Step 1: Check publicly available data | Actor: Researcher | Form/Portal: AIHW website (various topic areas) | Duration: Varies
Step 2: Check 'Our data collections' | Actor: Researcher | Form/Portal: https://www.aihw.gov.au/about-our-data/our-data-collections | Duration: Varies
Step 3: Contact experts | Actor: Researcher | Form/Portal: Email address provided in data collections | Duration: Varies
Step 4: Complete data on request form | Actor: Researcher | Form/Portal: Data on request form (specific URL not provided) | Duration: Varies
For DATA Scheme requests:
Step 1: Become an accredited user | Actor: Researcher | Form/Portal: Not specified | Duration: Varies
Step 2: Submit request via Dataplace | Actor: Researcher | Form/Portal: Dataplace (specific URL not provided) | Duration: Varies","The AIHW follows Australian research ethics guidelines including the National Statement on Ethical Conduct in Human Research, the Australian Code for the Responsible Conduct of Research, and the Privacy Act 1988 (Cwlth). Some data requests require ethical approval from the AIHW Ethics Committee, which meets quarterly. The AIHW has embedded the Five Safes framework into its approach for sharing and releasing data.","The AIHW provides access to data through the Sax Institute's Secure Unified Research Environment (SURE) (https://www.saxinstitute.org.au/solutions/sure/) and also utilizes its own Secure Remote Access Environment (SRAE) for storing and enabling user access to unit record data. DSS data, including DOMINO, is accessible via SURE.","Contact Email: info@aihw.gov.au
Data on Request Page: https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request",2 weeks - several months,"ABS: Collaboration on data integration and comparison of health expenditure.
Department of Social Services (DSS): Makes Data Over Multiple Individual Occurrences (DOMINO) accessible through the AIHW.
Sax Institute (SURE): Provides the Secure Unified Research Environment for AIHW data access.","https://www.aihw.gov.au/
https://www.aihw.gov.au/about-us/our-role-organisation-goals
https://www.aihw.gov.au/about-our-data/our-data-collections
https://www.aihw.gov.au/about-our-data/our-data-collections/australian-cancer-database
https://www.aihw.gov.au/about-our-data/our-data-collections/national-death-index
https://www.aihw.gov.au/about-our-data/our-data-collections/national-hospitals-data-collection
https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw
https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request
https://www.saxinstitute.org.au/solutions/sure/
https://www.aihw.gov.au/about-our-data/data-governance/the-five-safes-framework",Standard custodian — no special classification needed
Department of Social Services,DSS,Commonwealth,Commonwealth,"The Department of Social Services (DSS) is responsible for a diverse range of policies, payments, programs, and services that improve the wellbeing of people and families in Australia. As a data custodian, DSS manages and maintains high-value data assets related to social security, welfare, disability (including NDIS), and other social services. This data is used to support administrative responsibilities, policy development, and research.","DOMINO (External Analytical Version)|Integrated DataMart of DSS administrative analytical datasets, providing a detailed and longitudinal view of individuals' interactions with the welfare system. Does not contain identifiable information such as names and addresses.|De-identified|Yes via PLIDA;NDIS Data|Data related to participants, outcomes, demographics, payments, and provider data within the National Disability Insurance Scheme.|De-identified|Yes via MADIP;Data Exchange (DEX)|Curated dataset for sharing de-identified data for analytical projects, including data integration or program evaluation.|De-identified|Yes",Step 1: Register an account | Actor: Researcher | Form/Portal: DSS Request Data Portal (https://requestdata.dss.gov.au/) | Duration: Not publicly available;Step 2: Submit a data request | Actor: Researcher | Form/Portal: DSS Request Data Portal (https://requestdata.dss.gov.au/) | Duration: Not publicly available,"Data access is governed by the Privacy Act 1988 (Cth) and the Archives Act 1983 (Cth). Personal information is stored on Aristotle Metadata or Services Australia’s cloud storage, with effective control retained by DSS. Information handling adheres to the Australian Privacy Principles. Specific HREC requirements or data governance frameworks like 'Five Safes' are not explicitly detailed on public pages, but data is de-identified for external access.",,https://requestdata.dss.gov.au/ (Data Request Portal); Privacy@dss.gov.au (Privacy inquiries),Not publicly available,"Services Australia: DSS administrative analytical datasets for DOMINO are sourced from the Services Australia Enterprise Data Warehouse, and personal information is stored on Services Australia's cloud storage;AIHW: DSS makes DOMINO accessible through the AIHW, and AIHW is listed as a contact point for data access;ABS: ABS is listed as a contact point for data integration, and NDIS data has been linked to the Multi-Agency Data Integration Project (MADIP) by ABS.","https://www.dss.gov.au/access-information/information-publication-scheme/requesting-our-data
https://requestdata.dss.gov.au/
https://dss.aristotlecloud.io/steward/dss/
https://dss.aristotlecloud.io/item/1942
https://dataresearch.ndis.gov.au/",Standard custodian — no special classification needed
Private Hospital Data Bureau,PHDB,Commonwealth,Commonwealth,"The Private Hospital Data Bureau (PHDB) data collection is a legislated data collection of de-identified information for all separations in private hospitals and day facilities. The Department of Health collects this data from private hospitals and supplies de-identified information to the AIHW. Both entities use this data for policy development, reporting, and research, contributing to a comprehensive understanding of private hospital activity in Australia.","Private Hospital Data Bureau data collection|De-identified information on patient demographics, hospital episodes, clinical information, and hospital charges for private hospital separations|De-identified|Yes via sex/gender
Hospital Casemix Protocol (HCP) data|Data related to hospital casemix, used in conjunction with PHDB data for submission and analysis|De-identified|Yes via episode ID
National Hospitals data collection|Major national hospitals databases held by the AIHW, which may integrate or link with PHDB data|De-identified|Yes via various identifiers","Step 1: Initial Inquiry | Actor: Researcher | Form/Portal: AIHW website (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request) | Duration: Not specified
Step 2: Check Publicly Available Data | Actor: Researcher | Form/Portal: AIHW website (https://www.aihw.gov.au/about-our-data/our-data-collections) | Duration: 1-2 weeks
Step 3: Contact Experts | Actor: Researcher | Form/Portal: hospitaldata@aihw.gov.au | Duration: 1-2 weeks
Step 4: Complete Data on Request Form | Actor: Researcher | Form/Portal: AIHW Data on Request Form (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request) | Duration: 2-4 weeks
Step 5: Ethical Approval (if required) | Actor: AIHW Ethics Committee | Form/Portal: AIHW Ethics Committee application (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request) | Duration: Up to 3 months (quarterly meetings)
Step 6: Data Provision | Actor: AIHW | Form/Portal: Not specified (secure transfer) | Duration: 2 weeks to several months (depending on complexity)","The AIHW follows Australian research ethics guidelines, including the National Statement on Ethical Conduct in Human Research, the Australian Code for the Responsible Conduct of Research, and the Privacy Act 1988 (Cwlth). Some data requests require ethical approval from the AIHW Ethics Committee. The Five Safes framework is embedded in AIHW's approach to data sharing and release.",No dedicated TRE — data provided via secure file transfer or accessed through AIHW-managed instances like the ABS Secure Environment for Analysing Microdata (SEAM) for some linked datasets.,hospitaldata@aihw.gov.au (for PHDB data inquiries); info@aihw.gov.au (general AIHW inquiries); https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request (Data on Request form),3-12 months,"AIHW: The AIHW receives de-identified PHDB data from the Department of Health and makes it available for research and reporting.
Department of Health and Aged Care: The Department of Health collects PHDB data directly from private hospitals and supplies de-identified data to the AIHW.
ABS: The AIHW partners with the ABS for secure data access environments like SEAM, which may be used for linked PHDB data.
PHRN: The Population Health Research Network (PHRN) supports researcher requests to access linked data, which could include PHDB data.","https://www.aihw.gov.au/about-our-data/our-data-collections/private-hospital-data-bureau-phdb-data-collection
https://www.health.gov.au/topics/hospital-care/our-role/phdb-data?language=en
https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw
https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request
https://www.aihw.gov.au/reports-data/nhdh/researcher-access-eligibility-costs",Standard custodian — no special classification needed
Services Australia,Services Australia,Commonwealth,Commonwealth,"Services Australia supports researchers and the public to access data it holds about health and welfare. It reuses this information for project and research purposes, aiming to improve health and welfare research outcomes. The agency ensures that data provision aligns with relevant legislation and regulations regarding access, use, and disclosure.","Medicare Benefits Schedule (MBS) data|Information on services that qualify for a benefit under the Health Insurance Act 1973.|De-identified/Identifiable|Linkable(Yes via identification number or consent studies)
Pharmaceutical Benefits Scheme (PBS) data|Information on prescription medicines that qualify for a benefit under the National Health Act.|De-identified/Identifiable|Linkable(Yes via identification number or consent studies)
Centrelink payment statistics|Data related to Centrelink payments and services.|De-identified|Linkable(Yes via consent studies)
Child Support statistics|Historical data about Child Support transactions.|De-identified|No
Australian Organ Donor Register (AODR)|Data related to organ donation.|Identifiable|No
Practice Incentives Program (PIP)|Data related to incentives for general practices.|De-identified|No
Australian Immunisation Register (AIR)|Data related to immunisations.|Identifiable|No","Step 1: Initial Inquiry & Assessment | Actor: Researcher & Services Australia | Form/Portal: Email to external.information.release@servicesaustralia.gov.au | Duration: Not specified
Step 2: Document Completion & Compliance Check | Actor: Researcher & Services Australia | Form/Portal: Documents provided by Services Australia | Duration: Not specified
Step 3: Data Extraction & Review | Actor: Services Australia | Form/Portal: Internal process | Duration: Not specified
Step 4: Quality Assurance & Invoice | Actor: Services Australia | Form/Portal: Internal process | Duration: Not specified
Step 5: Data Release | Actor: Services Australia | Form/Portal: Not specified (implied secure transfer) | Duration: 4-6 months","Releasing statistical information and data is bound by privacy, confidentiality, and secrecy provisions. Requests must comply with relevant legislation. Services Australia assesses requests based on purpose (public benefit), anonymity checks, consent (for identified/identifiable information), secrecy provisions, and privacy (data used for collected purpose). The Privacy Act 1988 and Data Availability and Transparency Act 2022 are relevant. Services Australia also refers to the National Statistical Service website for integrating data from administrative or survey sources.",No dedicated TRE — data provided via secure transfer or specific arrangements for detailed data; general statistical information available on data.gov.au.,external.information.release@servicesaustralia.gov.au,4-6 months for complex requests,"Department of Health and Aged Care: Services Australia works with the Department of Health and Aged Care as the relevant policy department to ensure legislation and regulations allow the access, use, and disclosure of data. They also source MBS and PBS data from Services Australia for Medicare compliance purposes.
AIHW: AIHW collects and publishes data related to MBS and PBS, often drawing on data originating from Services Australia.
ABS: Services Australia refers to the National Statistical Service website (which includes ABS) for integrating data from administrative or survey sources.","https://www.servicesaustralia.gov.au/statistical-information-and-data?context=22
https://www.ihacpa.gov.au/health-care/data/data-access-and-release-researchers
https://www.health.gov.au/sites/default/files/2025-07/data-matching-notice-data-matching-for-medicare-compliance-purposes.pdf
https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs
https://www.oaic.gov.au/privacy/privacy-legislation/the-privacy-act",Standard custodian — no special classification needed
Therapeutic Goods Administration,TGA,Commonwealth,Commonwealth,"The Therapeutic Goods Administration (TGA) is Australia's government authority responsible for evaluating, assessing, and monitoring products defined as therapeutic goods. It regulates medicines, medical devices, and biologicals to ensure their safety, quality, and effectiveness, thereby protecting the health of Australians.","Australian Register of Therapeutic Goods (ARTG)|Public database of therapeutic goods legally supplied in Australia, including medicines and medical devices.|De-identified|No
Database of Adverse Event Notifications (DAEN)|Contains information from suspected adverse events reported for medicines, medical devices, and biologicals.|De-identified|No
Medicine Shortage Reports Database|Information on current medicine shortage alerts and reports, including projected stock unavailability.|De-identified|No","Step 1: Initial Inquiry | Actor: Researcher | Form/Portal: TGA General Enquiries (info@tga.gov.au or 1800 020 653) | Duration: Not publicly available
Step 2: Formal Data Request (if applicable) | Actor: Researcher | Form/Portal: Freedom of Information (FOI) request (tga.foi@health.gov.au) | Duration: 30 calendar days (may be extended)
Step 3: Data Access (if approved) | Actor: TGA | Form/Portal: No dedicated TRE – data provided via secure file transfer or public database access | Duration: Not publicly available","The TGA operates under the Therapeutic Goods Act 1989. Data handling is subject to the Privacy Act 1988, which regulates the collection, use, storage, and disclosure of personal information. For clinical trials and research involving unapproved therapeutic goods, Human Research Ethics Committees (HRECs) are involved, and the TGA adopts ICH Good Clinical Practice guidelines. The TGA also provides guidance on Data Management and Data Integrity (DMDI).",,"General Enquiries: info@tga.gov.au, 1800 020 653 (free call within Australia), 02 6289 4124
FOI Requests: tga.foi@health.gov.au
SAS and AP Online System: https://www.tga.gov.au/business-services/special-access-scheme-and-authorised-prescriber-online-system
TGA Business Services (TBS): https://www.tga.gov.au/business-services/tga-business-services-tbs",Not publicly available for general research data access requests. FOI requests have a 30-day processing time.,"Australian Institute of Health and Welfare (AIHW): TGA plays a key role in the National Medicines Policy, which AIHW reports on.
Department of Health and Aged Care: TGA is part of the Australian Government Department of Health and Aged Care.
NHMRC/HRECs: Human Research Ethics Committees (HRECs) register with the National Health and Medical Research Council (NHMRC) and are involved in TGA-regulated clinical trials.","https://www.tga.gov.au/
https://www.tga.gov.au/resources/datasets
https://www.tga.gov.au/products/unapproved-therapeutic-goods/access-pathways
https://www.tga.gov.au/about-us/using-our-website/privacy
https://www.tga.gov.au/contact-us
https://www.tga.gov.au/resources/legislation/privacy-act-1988
https://www.tga.gov.au/sites/default/files/access-hrec.pdf
https://www.aihw.gov.au/reports/medicines/medicines-in-the-health-system
https://www.health.gov.au/contacts/therapeutic-goods-administration-tga?language=en",Standard custodian — no special classification needed
MedicineInsight (Australian Commission on Safety and Quality in Health Care),MedicineInsight,Cross-jurisdictional,Commonwealth,"MedicineInsight is a primary care quality improvement program managed by the Australian Commission on Safety and Quality in Health Care. It uses data from Australian general practices to support best practice, post-market surveillance of medicines, and enables GPs to reflect on their prescribing patterns and patient care. The program also provides valuable data for public health research and policy development.","MedicineInsight data|Longitudinal de-identified electronic health records (EHRs) from Australian general practices, including prescribing and clinical data.|De-identified|Yes via patient ID (within the de-identified dataset)
General Practice Insights Reports|Aggregated data and insights from participating MedicineInsight practices, covering various health issues like cardiovascular disease, diabetes, COVID-19, and bushfires.|De-identified|No
MedicineInsight GP Snapshot on Chronic Obstructive Pulmonary Disease (COPD) Pharmacological Management|Provides essential data and practical insights to help GPs improve the management of COPD.|De-identified|No","Step 1: Enquire to determine the MedicineInsight data required for your project | Actor: Researcher | Form/Portal: Email QUMprogram@safetyandquality.gov.au | Duration: Not specified
Step 2: Confirm MedicineInsight data requirements and determine pricing | Actor: MedicineInsight (ACSQHC) | Form/Portal: Not specified | Duration: 2-3 weeks
Step 3: Project review and approval by independent Data Governance Committee | Actor: Data Governance Committee | Form/Portal: Not specified | Duration: Committee meets every 2 months
Step 4: Grant access to MedicineInsight reports or data | Actor: MedicineInsight (ACSQHC) | Form/Portal: Not specified | Duration: As agreed","The program is managed consistent with relevant state and territory laws and standards. Data undergoes a de-identification process, removing or altering information that identifies a person, or is reasonably likely to identify them, with additional protections to prevent re-identification risks. A data-sharing agreement is required, outlining researcher responsibilities. The program uses the 'Five Safes' assessment approach (safe data, safe outputs, safe projects, safe people, safe settings). A Privacy Impact Assessment (PIA) and Consent Model Review were conducted in early 2021. Adherence to the National Statement on Ethical Conduct in Human Research, 2007 (updated 2018) and RACGP’s guiding principles document is also maintained.",,"Email: QUMprogram@safetyandquality.gov.au
Email: MedicineInsight@safetyandquality.gov.au
Phone: 1300 721 726",3-6 months,"Department of Health and Aged Care: funding for the program
RACGP: MedicineInsight is GP practice longitudinal prescribing and clinical data, RACGP is a key partner in general practice
ACSQHC: The Australian Commission on Safety and Quality in Health Care is the custodian of the MedicineInsight program","https://www.nps.org.au/medicine-insight
https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/medicineinsight/medicineinsight-privacy-security-and-governance
https://www.nps.org.au/about-us/services/health-insights/medicineinsight/how-to-access
https://www.nps.org.au/medicine-insight/privacy-security-governance",Standard custodian — no special classification needed
